nct_id,antibody_name,antibody_category,indication,phase,enrollment,adverse_event_term,organ_system,serious,severity,assessed_participants,affected_participants,events,fraction_affected_%,is_failed_candidate,failure_reason,dose_mg_m2,duration_days,reversible,manageable,management_strategy,time_to_onset_days,resolution_days
NCT41379644,Bevacizumab,Anti-VEGF,Breast Cancer,Phase 1,396,Diarrhea,General disorders,Yes,Mild,396,31,33,7.83,No,,6,223,No,No,Treatment interruption,6,13
NCT55328600,Bevacizumab,Anti-VEGF,Non-Hodgkin Lymphoma,Phase 2,448,Thrombocytopenia,Skin disorders,No,Mild,448,1,6,0.22,No,,17,38,No,No,Dose reduction,15,75
NCT68238864,Bevacizumab,Anti-VEGF,Multiple Sclerosis,Phase 3,497,Neutropenia,Respiratory disorders,No,Moderate,497,55,57,11.07,No,,16,362,Yes,No,Supportive care,7,28
NCT99539569,Bevacizumab,Anti-VEGF,Multiple Sclerosis,Phase 2,188,Rash,Gastrointestinal disorders,Yes,Severe,188,49,50,26.06,No,,4,121,Yes,Yes,Dose reduction,5,83
NCT58827719,Bevacizumab,Anti-VEGF,Multiple Myeloma,Phase 1,258,Colitis,Hepatobiliary disorders,No,Mild,258,60,65,23.26,No,,1,353,No,No,Supportive care,25,42
NCT84895455,Bevacizumab,Anti-VEGF,Rheumatoid Arthritis,Phase 1,499,Hyperthyroidism,Blood disorders,No,Mild,499,103,103,20.64,No,,8,225,Yes,Yes,Treatment interruption,3,11
NCT43614234,Bevacizumab,Anti-VEGF,Multiple Myeloma,Phase 3,93,Fatigue,Gastrointestinal disorders,No,Severe,93,21,21,22.58,No,,10,326,Yes,No,Discontinuation,21,39
NCT34717158,Bevacizumab,Anti-VEGF,Rheumatoid Arthritis,Phase 4,82,Anemia,Endocrine disorders,No,Moderate,82,9,10,10.98,No,,6,196,No,No,Discontinuation,23,90
NCT56515294,Bevacizumab,Anti-VEGF,Breast Cancer,Phase 2,99,Infusion-related reaction,Hepatobiliary disorders,No,Severe,99,12,12,12.12,No,,15,73,No,Yes,Treatment interruption,12,18
NCT93774266,Bevacizumab,Anti-VEGF,Lung Cancer,Phase 2,433,Hypothyroidism,Gastrointestinal disorders,No,Mild,433,112,113,25.87,No,,2,96,No,Yes,Dose reduction,13,3
NCT19011398,Bevacizumab,Anti-VEGF,Lung Cancer,Phase 3,151,Rash,Blood disorders,Yes,Moderate,151,31,31,20.53,No,,15,172,No,No,Treatment interruption,15,56
NCT16628893,Bevacizumab,Anti-VEGF,Non-Hodgkin Lymphoma,Phase 4,38,Hypothyroidism,Cardiac disorders,No,Mild,38,8,12,21.05,No,,18,341,Yes,No,Discontinuation,19,16
NCT64152104,Bevacizumab,Anti-VEGF,Breast Cancer,Phase 3,39,Neutropenia,Skin disorders,No,Mild,39,8,11,20.51,No,,12,156,No,No,Dose reduction,6,90
NCT85283215,Bevacizumab,Anti-VEGF,Lung Cancer,Phase 3,110,Fatigue,Hepatobiliary disorders,No,Moderate,110,16,16,14.55,No,,14,232,No,Yes,Supportive care,4,90
NCT11196377,Bevacizumab,Anti-VEGF,Melanoma,Phase 2,181,Fatigue,Blood disorders,No,Moderate,181,14,14,7.73,No,,15,239,Yes,Yes,Dose reduction,27,24
NCT65224817,Bevacizumab,Anti-VEGF,Non-Hodgkin Lymphoma,Phase 3,104,Pneumonitis,Cardiac disorders,No,Mild,104,2,7,1.92,No,,6,78,Yes,No,Dose reduction,23,29
NCT65528201,Bevacizumab,Anti-VEGF,Breast Cancer,Phase 2,477,Hypothyroidism,Skin disorders,Yes,Mild,477,62,65,13.0,No,,19,35,Yes,Yes,Discontinuation,11,2
NCT13342225,Bevacizumab,Anti-VEGF,Non-Hodgkin Lymphoma,Phase 3,226,Thrombocytopenia,Gastrointestinal disorders,Yes,Moderate,226,21,22,9.29,No,,18,315,No,No,Dose reduction,15,15
NCT61292669,Bevacizumab,Anti-VEGF,Breast Cancer,Phase 2,169,Rash,Endocrine disorders,No,Mild,169,30,32,17.75,No,,3,307,No,No,Supportive care,1,84
NCT80338191,Bevacizumab,Anti-VEGF,Multiple Sclerosis,Phase 1,316,Thrombocytopenia,Hepatobiliary disorders,Yes,Severe,316,65,67,20.57,Yes,Lack of efficacy,7,363,No,No,Discontinuation,25,49
NCT79416862,Bevacizumab,Anti-VEGF,Melanoma,Phase 3,340,Nausea,Endocrine disorders,No,Mild,340,12,13,3.53,No,,12,219,Yes,No,Dose reduction,4,83
NCT75922823,Bevacizumab,Anti-VEGF,Breast Cancer,Phase 4,298,Diarrhea,Hepatobiliary disorders,No,Severe,298,59,64,19.8,Yes,Lack of efficacy,16,86,No,Yes,Supportive care,28,76
NCT52438687,Bevacizumab,Anti-VEGF,Rheumatoid Arthritis,Phase 2,349,Fatigue,Musculoskeletal disorders,No,Moderate,349,59,63,16.91,No,,5,144,No,No,Treatment interruption,4,70
NCT75785915,Bevacizumab,Anti-VEGF,Multiple Sclerosis,Phase 2,343,Hyperthyroidism,Musculoskeletal disorders,Yes,Mild,343,80,81,23.32,No,,1,136,Yes,No,Treatment interruption,12,61
NCT99411809,Bevacizumab,Anti-VEGF,Lung Cancer,Phase 3,116,Hepatotoxicity,General disorders,No,Moderate,116,9,9,7.76,No,,1,235,No,Yes,Discontinuation,23,8
NCT34255392,Bevacizumab,Anti-VEGF,Rheumatoid Arthritis,Phase 1,458,Hyperthyroidism,Cardiac disorders,No,Severe,458,39,43,8.52,Yes,Lack of efficacy,11,65,No,Yes,Dose reduction,14,7
NCT49902764,Bevacizumab,Anti-VEGF,Colorectal Cancer,Phase 4,201,Hepatotoxicity,Gastrointestinal disorders,Yes,Moderate,201,16,20,7.96,No,,17,93,No,No,Supportive care,19,50
NCT71849452,Bevacizumab,Anti-VEGF,Multiple Sclerosis,Phase 3,423,Diarrhea,Blood disorders,Yes,Severe,423,101,102,23.88,Yes,Safety concerns,7,306,No,Yes,Discontinuation,14,16
NCT20378274,Bevacizumab,Anti-VEGF,Multiple Sclerosis,Phase 2,407,Arthralgia,Respiratory disorders,Yes,Severe,407,24,28,5.9,No,,2,82,No,Yes,Dose reduction,21,84
NCT91124510,Bevacizumab,Anti-VEGF,Colorectal Cancer,Phase 1,248,Nausea,Blood disorders,No,Severe,248,15,17,6.05,No,,11,32,Yes,Yes,Dose reduction,29,87
NCT57640502,Bevacizumab,Anti-VEGF,Melanoma,Phase 1,78,Neutropenia,Endocrine disorders,No,Moderate,78,15,17,19.23,No,,17,99,Yes,No,Discontinuation,21,40
NCT26283037,Bevacizumab,Anti-VEGF,Breast Cancer,Phase 3,159,Nausea,Endocrine disorders,No,Mild,159,5,10,3.14,No,,20,330,Yes,No,Dose reduction,29,13
NCT89759826,Bevacizumab,Anti-VEGF,Non-Hodgkin Lymphoma,Phase 1,191,Pneumonitis,Hepatobiliary disorders,No,Mild,191,53,58,27.75,No,,16,216,Yes,Yes,Supportive care,9,43
NCT57477828,Bevacizumab,Anti-VEGF,Multiple Myeloma,Phase 1,191,Diarrhea,Endocrine disorders,No,Mild,191,39,44,20.42,No,,5,352,Yes,Yes,Dose reduction,22,22
NCT19849597,Bevacizumab,Anti-VEGF,Non-Hodgkin Lymphoma,Phase 3,248,Arthralgia,General disorders,No,Moderate,248,29,32,11.69,No,,2,134,Yes,Yes,Discontinuation,15,51
NCT31947749,Bevacizumab,Anti-VEGF,Multiple Myeloma,Phase 4,144,Hypothyroidism,Cardiac disorders,No,Moderate,144,21,25,14.58,No,,6,173,Yes,Yes,Supportive care,24,14
NCT69297600,Bevacizumab,Anti-VEGF,Lung Cancer,Phase 2,334,Pneumonitis,Gastrointestinal disorders,Yes,Mild,334,94,96,28.14,Yes,Regulatory issues,20,336,No,Yes,Dose reduction,14,49
NCT50677056,Bevacizumab,Anti-VEGF,Rheumatoid Arthritis,Phase 1,59,Nausea,Endocrine disorders,No,Mild,59,7,10,11.86,No,,14,104,No,Yes,Dose reduction,4,27
NCT33261615,Bevacizumab,Anti-VEGF,Non-Hodgkin Lymphoma,Phase 4,383,Pneumonitis,Endocrine disorders,No,Severe,383,57,62,14.88,No,,15,217,No,No,Dose reduction,29,76
NCT91815578,Bevacizumab,Anti-VEGF,Lung Cancer,Phase 2,407,Hepatotoxicity,Cardiac disorders,No,Mild,407,48,52,11.79,No,,13,110,No,No,Treatment interruption,24,83
NCT32163477,Bevacizumab,Anti-VEGF,Colorectal Cancer,Phase 1,349,Rash,Hepatobiliary disorders,No,Severe,349,19,22,5.44,Yes,Regulatory issues,12,160,No,No,Treatment interruption,9,48
NCT50200358,Bevacizumab,Anti-VEGF,Multiple Myeloma,Phase 4,274,Cardiotoxicity,Blood disorders,No,Mild,274,25,28,9.12,No,,5,85,Yes,Yes,Treatment interruption,30,2
NCT80893413,Bevacizumab,Anti-VEGF,Multiple Sclerosis,Phase 2,113,Pneumonitis,Gastrointestinal disorders,No,Severe,113,19,23,16.81,No,,20,284,Yes,No,Treatment interruption,5,38
NCT34389384,Bevacizumab,Anti-VEGF,Non-Hodgkin Lymphoma,Phase 2,434,Cardiotoxicity,Blood disorders,No,Severe,434,44,45,10.14,No,,14,344,Yes,Yes,Treatment interruption,2,75
NCT43049408,Bevacizumab,Anti-VEGF,Melanoma,Phase 1,339,Colitis,Blood disorders,No,Mild,339,17,19,5.01,No,,15,348,Yes,Yes,Supportive care,16,73
NCT11249192,Bevacizumab,Anti-VEGF,Multiple Sclerosis,Phase 1,274,Nausea,Skin disorders,No,Severe,274,74,78,27.01,No,,1,66,Yes,No,Discontinuation,2,69
NCT44131471,Bevacizumab,Anti-VEGF,Rheumatoid Arthritis,Phase 1,280,Hypothyroidism,Blood disorders,No,Mild,280,31,35,11.07,No,,15,245,No,No,Supportive care,28,15
NCT68292997,Bevacizumab,Anti-VEGF,Rheumatoid Arthritis,Phase 4,487,Colitis,Cardiac disorders,No,Moderate,487,57,60,11.7,No,,3,157,No,No,Treatment interruption,5,24
NCT16907279,Bevacizumab,Anti-VEGF,Multiple Myeloma,Phase 4,212,Diarrhea,General disorders,No,Severe,212,60,62,28.3,No,,17,208,Yes,No,Supportive care,19,33
NCT72472125,Bevacizumab,Anti-VEGF,Melanoma,Phase 3,151,Neutropenia,Respiratory disorders,No,Moderate,151,18,18,11.92,No,,9,258,Yes,Yes,Supportive care,6,65
NCT85229808,Bevacizumab,Anti-VEGF,Melanoma,Phase 1,219,Infusion-related reaction,Endocrine disorders,Yes,Severe,219,62,65,28.31,No,,1,302,Yes,No,Supportive care,10,14
NCT82967613,Bevacizumab,Anti-VEGF,Rheumatoid Arthritis,Phase 4,466,Infusion-related reaction,Hepatobiliary disorders,Yes,Moderate,466,72,73,15.45,Yes,Lack of efficacy,16,38,Yes,Yes,Treatment interruption,9,81
NCT54770748,Bevacizumab,Anti-VEGF,Multiple Myeloma,Phase 2,331,Nausea,Skin disorders,No,Mild,331,77,78,23.26,No,,18,104,No,No,Discontinuation,11,77
NCT41481788,Bevacizumab,Anti-VEGF,Multiple Sclerosis,Phase 2,191,Nausea,Gastrointestinal disorders,Yes,Moderate,191,24,24,12.57,Yes,Lack of efficacy,1,215,No,No,Treatment interruption,22,43
NCT64650096,Bevacizumab,Anti-VEGF,Multiple Myeloma,Phase 4,98,Anemia,Endocrine disorders,No,Severe,98,3,3,3.06,Yes,Safety concerns,9,64,Yes,Yes,Dose reduction,2,35
NCT43885103,Bevacizumab,Anti-VEGF,Non-Hodgkin Lymphoma,Phase 1,500,Pneumonitis,Cardiac disorders,No,Mild,500,13,13,2.6,No,,5,142,Yes,Yes,Dose reduction,25,40
NCT52342129,Ramucirumab,Anti-VEGF,Multiple Sclerosis,Phase 4,174,Cardiotoxicity,Hepatobiliary disorders,No,Mild,174,47,50,27.01,No,,17,167,No,Yes,Dose reduction,28,18
NCT77427729,Ramucirumab,Anti-VEGF,Multiple Myeloma,Phase 1,359,Pneumonitis,Musculoskeletal disorders,No,Moderate,359,4,8,1.11,No,,14,280,Yes,Yes,Treatment interruption,2,64
NCT26890506,Ramucirumab,Anti-VEGF,Breast Cancer,Phase 1,64,Cardiotoxicity,Endocrine disorders,No,Mild,64,12,13,18.75,No,,17,244,Yes,Yes,Treatment interruption,12,6
NCT68936461,Ramucirumab,Anti-VEGF,Multiple Sclerosis,Phase 2,187,Thrombocytopenia,Cardiac disorders,No,Severe,187,37,42,19.79,Yes,Lack of efficacy,5,156,Yes,No,Supportive care,30,19
NCT85462322,Ramucirumab,Anti-VEGF,Rheumatoid Arthritis,Phase 2,390,Arthralgia,General disorders,No,Severe,390,92,92,23.59,No,,12,128,Yes,Yes,Discontinuation,13,52
NCT70383149,Ramucirumab,Anti-VEGF,Rheumatoid Arthritis,Phase 4,40,Hypothyroidism,General disorders,Yes,Severe,40,10,13,25.0,Yes,Competition,6,256,Yes,Yes,Discontinuation,27,28
NCT41938444,Ramucirumab,Anti-VEGF,Multiple Myeloma,Phase 1,389,Arthralgia,Blood disorders,Yes,Severe,389,108,113,27.76,Yes,Competition,2,32,Yes,No,Dose reduction,12,17
NCT11635016,Ramucirumab,Anti-VEGF,Multiple Myeloma,Phase 2,291,Neutropenia,General disorders,No,Mild,291,26,27,8.93,No,,11,290,Yes,Yes,Dose reduction,21,72
NCT59669344,Ramucirumab,Anti-VEGF,Lung Cancer,Phase 2,253,Rash,Gastrointestinal disorders,No,Severe,253,37,39,14.62,No,,4,272,Yes,No,Dose reduction,12,48
NCT31941470,Ramucirumab,Anti-VEGF,Lung Cancer,Phase 3,118,Diarrhea,Cardiac disorders,No,Severe,118,10,14,8.47,Yes,Regulatory issues,15,301,Yes,Yes,Discontinuation,5,7
NCT84955695,Ramucirumab,Anti-VEGF,Lung Cancer,Phase 1,202,Hyperthyroidism,Blood disorders,Yes,Mild,202,27,31,13.37,No,,5,71,No,Yes,Discontinuation,3,38
NCT29860266,Ramucirumab,Anti-VEGF,Non-Hodgkin Lymphoma,Phase 3,421,Colitis,Cardiac disorders,No,Moderate,421,94,98,22.33,No,,9,360,Yes,Yes,Treatment interruption,8,30
NCT12653266,Ramucirumab,Anti-VEGF,Multiple Sclerosis,Phase 1,395,Thrombocytopenia,Hepatobiliary disorders,No,Mild,395,45,49,11.39,No,,19,245,Yes,Yes,Treatment interruption,5,77
NCT85493594,Ramucirumab,Anti-VEGF,Multiple Sclerosis,Phase 1,388,Anemia,Respiratory disorders,No,Moderate,388,83,87,21.39,No,,6,87,Yes,No,Treatment interruption,13,17
NCT58839622,Ramucirumab,Anti-VEGF,Lung Cancer,Phase 2,378,Diarrhea,General disorders,No,Severe,378,10,15,2.65,No,,12,282,Yes,Yes,Treatment interruption,2,6
NCT84731888,Ramucirumab,Anti-VEGF,Non-Hodgkin Lymphoma,Phase 2,96,Infusion-related reaction,Respiratory disorders,No,Mild,96,10,10,10.42,No,,4,229,No,No,Supportive care,2,14
NCT96724069,Ramucirumab,Anti-VEGF,Non-Hodgkin Lymphoma,Phase 2,227,Anemia,Hepatobiliary disorders,No,Severe,227,15,19,6.61,No,,10,53,Yes,Yes,Supportive care,21,74
NCT94356226,Ramucirumab,Anti-VEGF,Multiple Myeloma,Phase 1,47,Hepatotoxicity,General disorders,No,Severe,47,12,15,25.53,No,,9,30,Yes,Yes,Treatment interruption,14,32
NCT12022678,Ramucirumab,Anti-VEGF,Melanoma,Phase 2,245,Arthralgia,Respiratory disorders,No,Moderate,245,47,48,19.18,No,,3,109,Yes,No,Supportive care,12,31
NCT41811159,Ramucirumab,Anti-VEGF,Colorectal Cancer,Phase 1,147,Cardiotoxicity,Skin disorders,No,Moderate,147,43,44,29.25,Yes,Lack of efficacy,18,159,Yes,Yes,Treatment interruption,15,47
NCT86262098,Ramucirumab,Anti-VEGF,Breast Cancer,Phase 3,314,Thrombocytopenia,Endocrine disorders,No,Mild,314,19,24,6.05,No,,2,155,Yes,Yes,Supportive care,17,14
NCT76869771,Ramucirumab,Anti-VEGF,Multiple Myeloma,Phase 3,349,Infusion-related reaction,General disorders,No,Moderate,349,29,29,8.31,No,,20,360,Yes,No,Supportive care,23,72
NCT81125469,Ramucirumab,Anti-VEGF,Colorectal Cancer,Phase 3,164,Arthralgia,Endocrine disorders,No,Mild,164,22,22,13.41,No,,20,92,Yes,No,Dose reduction,6,78
NCT44794473,Ramucirumab,Anti-VEGF,Colorectal Cancer,Phase 4,272,Cardiotoxicity,Cardiac disorders,No,Severe,272,6,7,2.21,No,,9,300,Yes,No,Supportive care,5,17
NCT61543141,Ramucirumab,Anti-VEGF,Rheumatoid Arthritis,Phase 4,25,Pneumonitis,Blood disorders,No,Mild,25,4,6,16.0,No,,1,167,No,Yes,Discontinuation,4,53
NCT99195168,Ramucirumab,Anti-VEGF,Lung Cancer,Phase 2,449,Arthralgia,Blood disorders,No,Mild,449,130,131,28.95,No,,18,88,No,No,Dose reduction,17,9
NCT13419233,Ramucirumab,Anti-VEGF,Breast Cancer,Phase 4,289,Anemia,General disorders,No,Severe,289,41,43,14.19,No,,16,357,Yes,Yes,Supportive care,6,6
NCT87866841,Ramucirumab,Anti-VEGF,Non-Hodgkin Lymphoma,Phase 3,39,Arthralgia,Gastrointestinal disorders,No,Mild,39,8,13,20.51,No,,18,111,No,Yes,Discontinuation,19,70
NCT30211136,Ramucirumab,Anti-VEGF,Multiple Myeloma,Phase 2,288,Hypothyroidism,Musculoskeletal disorders,No,Moderate,288,45,46,15.62,No,,8,350,No,Yes,Discontinuation,5,30
NCT43593843,Ramucirumab,Anti-VEGF,Melanoma,Phase 4,402,Hypothyroidism,General disorders,No,Mild,402,119,121,29.6,No,,11,351,Yes,No,Discontinuation,18,79
NCT97934978,Ramucirumab,Anti-VEGF,Lung Cancer,Phase 1,165,Fatigue,Gastrointestinal disorders,Yes,Moderate,165,22,24,13.33,No,,18,312,No,No,Discontinuation,11,84
NCT99568867,Ramucirumab,Anti-VEGF,Non-Hodgkin Lymphoma,Phase 4,364,Neutropenia,Blood disorders,No,Severe,364,38,39,10.44,No,,8,239,Yes,No,Discontinuation,19,60
NCT99329532,Ramucirumab,Anti-VEGF,Multiple Myeloma,Phase 2,304,Colitis,Endocrine disorders,Yes,Mild,304,34,38,11.18,No,,8,196,No,No,Supportive care,8,6
NCT37773214,Ramucirumab,Anti-VEGF,Melanoma,Phase 3,278,Thrombocytopenia,General disorders,No,Moderate,278,66,68,23.74,No,,7,112,No,Yes,Dose reduction,21,20
NCT52206029,Ramucirumab,Anti-VEGF,Non-Hodgkin Lymphoma,Phase 2,195,Arthralgia,Respiratory disorders,No,Severe,195,24,26,12.31,Yes,Lack of efficacy,13,123,No,Yes,Discontinuation,6,43
NCT85248747,Ramucirumab,Anti-VEGF,Lung Cancer,Phase 1,27,Hyperthyroidism,Skin disorders,No,Mild,27,2,5,7.41,No,,20,98,No,Yes,Treatment interruption,28,18
NCT66824829,Ramucirumab,Anti-VEGF,Non-Hodgkin Lymphoma,Phase 2,205,Hypothyroidism,Endocrine disorders,No,Mild,205,58,61,28.29,No,,20,266,No,No,Treatment interruption,9,45
NCT45261317,Ramucirumab,Anti-VEGF,Rheumatoid Arthritis,Phase 4,249,Anemia,Musculoskeletal disorders,Yes,Mild,249,22,27,8.84,No,,3,174,No,Yes,Supportive care,16,54
NCT64631771,Ramucirumab,Anti-VEGF,Breast Cancer,Phase 2,252,Cardiotoxicity,Blood disorders,No,Moderate,252,25,28,9.92,No,,17,250,Yes,No,Discontinuation,14,83
NCT11059741,Ramucirumab,Anti-VEGF,Multiple Sclerosis,Phase 2,324,Neutropenia,Blood disorders,No,Moderate,324,85,89,26.23,No,,18,145,Yes,Yes,Discontinuation,7,62
NCT12281355,Ramucirumab,Anti-VEGF,Rheumatoid Arthritis,Phase 1,165,Anemia,Skin disorders,Yes,Mild,165,2,4,1.21,No,,20,208,No,Yes,Supportive care,11,16
NCT54869201,Ramucirumab,Anti-VEGF,Breast Cancer,Phase 3,454,Cardiotoxicity,General disorders,No,Mild,454,54,57,11.89,No,,14,347,No,No,Treatment interruption,2,57
NCT43107529,Ramucirumab,Anti-VEGF,Colorectal Cancer,Phase 3,338,Hepatotoxicity,Skin disorders,No,Mild,338,60,64,17.75,No,,3,303,Yes,No,Dose reduction,18,5
NCT89085107,Ramucirumab,Anti-VEGF,Rheumatoid Arthritis,Phase 4,111,Hyperthyroidism,General disorders,No,Severe,111,32,35,28.83,Yes,Lack of efficacy,11,34,Yes,Yes,Treatment interruption,13,83
NCT51129855,Ramucirumab,Anti-VEGF,Melanoma,Phase 4,120,Infusion-related reaction,Skin disorders,No,Mild,120,7,12,5.83,No,,19,104,No,No,Discontinuation,23,80
NCT18571864,Ramucirumab,Anti-VEGF,Multiple Myeloma,Phase 2,284,Infusion-related reaction,Skin disorders,No,Severe,284,10,11,3.52,No,,5,184,Yes,No,Discontinuation,1,90
NCT81415586,Ramucirumab,Anti-VEGF,Colorectal Cancer,Phase 4,290,Cardiotoxicity,Hepatobiliary disorders,No,Mild,290,30,35,10.34,No,,20,101,Yes,No,Dose reduction,28,35
NCT42200386,Ramucirumab,Anti-VEGF,Melanoma,Phase 3,379,Pneumonitis,Skin disorders,No,Moderate,379,75,75,19.79,No,,11,226,No,No,Discontinuation,28,78
NCT15062813,Ramucirumab,Anti-VEGF,Non-Hodgkin Lymphoma,Phase 1,482,Cardiotoxicity,Cardiac disorders,No,Moderate,482,119,121,24.69,No,,8,73,No,Yes,Supportive care,23,46
NCT62194369,Ramucirumab,Anti-VEGF,Colorectal Cancer,Phase 1,476,Thrombocytopenia,Hepatobiliary disorders,No,Severe,476,42,43,8.82,No,,18,293,No,Yes,Discontinuation,16,13
NCT31184567,Ramucirumab,Anti-VEGF,Melanoma,Phase 4,469,Pneumonitis,Skin disorders,No,Moderate,469,17,19,3.62,No,,14,237,No,Yes,Treatment interruption,24,19
NCT63853420,Ramucirumab,Anti-VEGF,Multiple Sclerosis,Phase 3,348,Fatigue,Respiratory disorders,No,Severe,348,25,29,7.18,No,,14,272,No,No,Discontinuation,3,12
NCT20048912,Ramucirumab,Anti-VEGF,Multiple Myeloma,Phase 1,419,Pneumonitis,Musculoskeletal disorders,No,Moderate,419,84,87,20.05,No,,1,82,No,Yes,Discontinuation,29,16
NCT82347789,Ramucirumab,Anti-VEGF,Rheumatoid Arthritis,Phase 1,263,Diarrhea,General disorders,No,Mild,263,8,9,3.04,No,,15,215,No,Yes,Discontinuation,23,6
NCT28964221,Ramucirumab,Anti-VEGF,Multiple Myeloma,Phase 2,261,Nausea,Blood disorders,Yes,Mild,261,34,35,13.03,No,,20,211,Yes,Yes,Discontinuation,24,89
NCT43067427,Ramucirumab,Anti-VEGF,Multiple Sclerosis,Phase 2,244,Hypothyroidism,Blood disorders,No,Mild,244,13,15,5.33,No,,14,110,Yes,No,Discontinuation,22,2
NCT55076860,Ramucirumab,Anti-VEGF,Colorectal Cancer,Phase 4,460,Anemia,Musculoskeletal disorders,No,Mild,460,18,21,3.91,No,,14,365,No,Yes,Discontinuation,15,85
NCT21929705,Ramucirumab,Anti-VEGF,Multiple Sclerosis,Phase 3,191,Fatigue,Respiratory disorders,No,Mild,191,9,14,4.71,No,,17,211,No,No,Treatment interruption,20,13
NCT86423068,Ramucirumab,Anti-VEGF,Melanoma,Phase 1,216,Rash,Hepatobiliary disorders,No,Moderate,216,11,15,5.09,Yes,Regulatory issues,17,206,No,Yes,Discontinuation,9,56
NCT82765857,Ramucirumab,Anti-VEGF,Non-Hodgkin Lymphoma,Phase 4,116,Hepatotoxicity,General disorders,No,Severe,116,31,34,26.72,Yes,Competition,14,88,No,Yes,Dose reduction,3,29
NCT86793098,Ramucirumab,Anti-VEGF,Multiple Sclerosis,Phase 1,347,Colitis,Cardiac disorders,No,Moderate,347,1,4,0.29,No,,12,94,No,Yes,Supportive care,7,88
NCT92997033,Ramucirumab,Anti-VEGF,Multiple Myeloma,Phase 1,298,Colitis,Gastrointestinal disorders,No,Mild,298,22,25,7.38,No,,3,258,No,No,Discontinuation,7,18
NCT14681342,Ramucirumab,Anti-VEGF,Multiple Sclerosis,Phase 4,384,Hyperthyroidism,Cardiac disorders,No,Moderate,384,112,117,29.17,No,,14,281,Yes,Yes,Treatment interruption,19,3
NCT43875572,Ramucirumab,Anti-VEGF,Lung Cancer,Phase 1,311,Fatigue,Hepatobiliary disorders,No,Mild,311,27,29,8.68,No,,13,143,No,No,Discontinuation,23,32
NCT40036810,Ramucirumab,Anti-VEGF,Multiple Sclerosis,Phase 1,278,Arthralgia,Blood disorders,No,Mild,278,4,6,1.44,No,,5,179,No,No,Treatment interruption,25,56
NCT58371140,Ramucirumab,Anti-VEGF,Breast Cancer,Phase 1,458,Diarrhea,Gastrointestinal disorders,No,Severe,458,124,128,27.07,No,,11,83,No,No,Supportive care,21,78
NCT75764945,Ramucirumab,Anti-VEGF,Multiple Myeloma,Phase 1,376,Hypothyroidism,Cardiac disorders,No,Moderate,376,106,111,28.19,No,,10,143,Yes,No,Dose reduction,17,77
NCT75061710,Ramucirumab,Anti-VEGF,Breast Cancer,Phase 2,53,Hyperthyroidism,Hepatobiliary disorders,No,Moderate,53,11,14,20.75,No,,14,345,Yes,No,Dose reduction,5,48
NCT69191721,Ramucirumab,Anti-VEGF,Breast Cancer,Phase 2,354,Neutropenia,Skin disorders,No,Mild,354,5,7,1.41,No,,13,240,Yes,No,Supportive care,16,24
NCT22396277,Ramucirumab,Anti-VEGF,Multiple Myeloma,Phase 4,410,Thrombocytopenia,Hepatobiliary disorders,Yes,Severe,410,58,60,14.15,Yes,Safety concerns,6,224,No,Yes,Treatment interruption,13,55
NCT89900678,Ramucirumab,Anti-VEGF,Non-Hodgkin Lymphoma,Phase 3,88,Colitis,Hepatobiliary disorders,No,Severe,88,15,18,17.05,No,,5,310,Yes,Yes,Discontinuation,12,75
NCT15081422,Ramucirumab,Anti-VEGF,Breast Cancer,Phase 4,124,Diarrhea,Respiratory disorders,No,Mild,124,31,31,25.0,No,,1,209,Yes,No,Supportive care,2,63
NCT58639431,Ramucirumab,Anti-VEGF,Multiple Myeloma,Phase 3,262,Arthralgia,General disorders,No,Severe,262,19,21,7.25,No,,3,183,Yes,Yes,Supportive care,28,64
NCT92308897,Ramucirumab,Anti-VEGF,Colorectal Cancer,Phase 1,371,Hyperthyroidism,Blood disorders,No,Moderate,371,21,25,5.66,No,,20,144,No,Yes,Supportive care,9,14
NCT52110513,Ramucirumab,Anti-VEGF,Breast Cancer,Phase 4,417,Anemia,General disorders,No,Mild,417,63,65,15.11,No,,17,165,No,Yes,Discontinuation,27,33
NCT34337607,Ramucirumab,Anti-VEGF,Breast Cancer,Phase 4,93,Hyperthyroidism,Endocrine disorders,No,Moderate,93,25,26,26.88,No,,10,190,Yes,No,Treatment interruption,9,70
NCT32632349,Ramucirumab,Anti-VEGF,Rheumatoid Arthritis,Phase 3,167,Arthralgia,Gastrointestinal disorders,No,Moderate,167,37,40,22.16,Yes,Regulatory issues,13,294,No,Yes,Treatment interruption,20,33
NCT44083830,Ramucirumab,Anti-VEGF,Non-Hodgkin Lymphoma,Phase 4,337,Anemia,Respiratory disorders,No,Severe,337,12,17,3.56,Yes,Lack of efficacy,6,324,Yes,Yes,Treatment interruption,16,30
NCT58896739,Ramucirumab,Anti-VEGF,Melanoma,Phase 1,317,Arthralgia,Endocrine disorders,No,Moderate,317,71,74,22.4,No,,13,268,No,No,Treatment interruption,25,77
NCT28066525,Ramucirumab,Anti-VEGF,Non-Hodgkin Lymphoma,Phase 4,186,Hypothyroidism,Hepatobiliary disorders,No,Mild,186,8,9,4.3,No,,3,102,No,Yes,Dose reduction,3,38
NCT60877757,Ramucirumab,Anti-VEGF,Multiple Sclerosis,Phase 4,306,Fatigue,Cardiac disorders,No,Severe,306,1,2,0.33,Yes,Competition,4,362,Yes,No,Dose reduction,2,4
