rct_number,antibody_name,antibody_category,trial_design,control_arm,phase,enrollment,dose_mg_m2,dose_frequency,duration_days,age_range,gender_distribution,ecog_performance,prior_treatments,comorbidities,baseline_organ_function,adverse_event,toxicity_type,organ_system,severity,ctcae_grade,fraction_affected_%,reversible,manageable,management_strategy,mitigation_strategy,time_to_onset_days,resolution_days,dose_modification_required,dose_modification_type,treatment_discontinuation,fatal_outcome,is_failed_candidate,failure_reason,contributed_to_failure,biomarker_correlation,predictive_factor,risk_stratification
RCT12403,Rituximab,Anti-CD20,Single-arm,Active comparator,Phase 3,74,6,Bi-weekly,86,21-85,50% M/50% F,1-2,1,2,Moderate impairment,Neutropenia,Cardiac,Blood,Moderate,4,27.04,Yes,Yes,Discontinuation,Premedication,4,18,No,Delay,Yes,Yes,Yes,Competition,Yes,Negative,Age,Unknown
RCT30286,Trastuzumab,Anti-HER2,Single-arm,Standard of care,Phase 3,131,2,Monthly,71,18-65,60% M/40% F,0-2,5,3,Moderate impairment,Rash,Hematological,Cardiac,Mild,3,15.28,No,Yes,Supportive care,Dose adjustment,14,26,No,None,Yes,No,No,Efficacy,No,None,None,Medium
RCT76567,Pembrolizumab,Anti-PD-1,Single-arm,None,Phase 3,111,8,Monthly,46,21-85,50% M/50% F,0-1,3,2,Mild impairment,Infusion reaction,Hepatic,Blood,Severe,4,11.41,No,Yes,Treatment hold,Patient education,11,51,No,Discontinuation,Yes,Yes,Yes,Efficacy,No,None,Gender,Medium
RCT86389,Bevacizumab,Anti-VEGF,Crossover,Standard of care,Phase 1,177,2,Weekly,61,18-65,40% M/60% F,0-2,4,3,Mild impairment,Infusion reaction,Hepatic,Skin,Mild,3,6.02,Yes,Yes,Supportive care,Premedication,7,8,No,Delay,No,Yes,No,Regulatory,,Positive,Age,Low
RCT74387,Cetuximab,Anti-EGFR,Crossover,Standard of care,Phase 1,290,14,Monthly,165,18-75,40% M/60% F,1-2,2,2,Normal,Rash,Cardiac,Hepatic,Moderate,3,26.66,No,No,Dose reduction,Premedication,4,35,No,Reduction,No,Yes,Yes,Safety,Yes,Positive,Prior treatments,Low
RCT60244,Rituximab,Anti-CD20,Crossover,Standard of care,Phase 3,177,13,Weekly,115,18-75,40% M/60% F,1-2,5,0,Normal,Infusion reaction,Hepatic,Skin,Mild,2,22.31,Yes,Yes,Supportive care,Monitoring,25,48,No,Delay,Yes,No,No,Efficacy,,None,None,Unknown
RCT80167,Trastuzumab,Anti-HER2,Randomized,Standard of care,Phase 3,137,15,Bi-weekly,52,21-85,50% M/50% F,1-2,0,1,Normal,Neutropenia,Gastrointestinal,Cardiac,Mild,5,17.39,No,Yes,Discontinuation,Dose adjustment,16,52,Yes,Reduction,No,Yes,Yes,Efficacy,No,Positive,Age,Low
RCT42746,Pembrolizumab,Anti-PD-1,Single-arm,Active comparator,Phase 1,28,15,Monthly,40,18-75,60% M/40% F,1-2,2,0,Mild impairment,Neutropenia,Dermatological,Hepatic,Severe,3,1.32,No,No,Supportive care,Dose adjustment,2,57,No,Reduction,No,No,No,Competition,Yes,Positive,Age,Unknown
RCT17839,Bevacizumab,Anti-VEGF,Crossover,Active comparator,Phase 2,296,1,Bi-weekly,91,≥18,50% M/50% F,1-2,2,2,Normal,Rash,Gastrointestinal,Gastrointestinal,Severe,2,9.43,Yes,Yes,Discontinuation,Monitoring,13,14,Yes,Reduction,No,No,Yes,Competition,Yes,None,Gender,Unknown
RCT98666,Cetuximab,Anti-EGFR,Randomized,None,Phase 3,281,1,Monthly,34,21-85,50% M/50% F,0-2,2,2,Mild impairment,Fatigue,Hematological,Gastrointestinal,Moderate,5,9.71,No,No,Supportive care,Dose adjustment,1,41,Yes,Discontinuation,Yes,No,No,Efficacy,No,Unknown,Prior treatments,High
RCT28641,Rituximab,Anti-CD20,Randomized,None,Phase 2,163,12,Bi-weekly,173,18-65,50% M/50% F,0-1,4,0,Moderate impairment,Neutropenia,Hematological,Skin,Mild,1,11.98,Yes,Yes,Dose reduction,Premedication,12,11,Yes,Reduction,Yes,Yes,Yes,Competition,Yes,Unknown,None,Low
RCT16450,Trastuzumab,Anti-HER2,Randomized,None,Phase 2,202,15,Weekly,165,18-75,60% M/40% F,1-2,0,3,Mild impairment,Nausea,Cardiac,Skin,Severe,3,5.79,Yes,Yes,Discontinuation,Patient education,17,33,No,None,No,Yes,Yes,Efficacy,No,Unknown,Prior treatments,Unknown
RCT42891,Pembrolizumab,Anti-PD-1,Single-arm,Standard of care,Phase 3,213,4,Monthly,171,≥18,50% M/50% F,0-2,4,0,Normal,Neutropenia,Gastrointestinal,Hepatic,Severe,5,15.72,No,No,Discontinuation,Dose adjustment,15,39,Yes,Reduction,No,No,No,Safety,No,None,Prior treatments,Low
RCT92253,Bevacizumab,Anti-VEGF,Single-arm,None,Phase 1,194,8,Bi-weekly,75,≥18,60% M/40% F,0-1,5,0,Mild impairment,Rash,Hematological,Cardiac,Mild,3,18.35,Yes,No,Supportive care,Dose adjustment,21,26,Yes,Delay,Yes,No,Yes,Safety,,Positive,Prior treatments,Low
RCT87134,Cetuximab,Anti-EGFR,Randomized,Placebo,Phase 1,231,12,Every 3 weeks,144,≥18,40% M/60% F,1-2,3,2,Mild impairment,Nausea,Gastrointestinal,Hepatic,Severe,4,11.18,No,No,Discontinuation,Monitoring,8,14,Yes,Delay,No,Yes,No,Efficacy,No,Positive,ECOG,Low
RCT22459,Rituximab,Anti-CD20,Single-arm,None,Phase 3,251,7,Monthly,44,18-65,50% M/50% F,0-1,2,0,Mild impairment,Infusion reaction,Gastrointestinal,Skin,Severe,3,16.31,No,Yes,Supportive care,Dose adjustment,25,25,No,Reduction,Yes,Yes,Yes,Regulatory,Yes,None,Gender,High
RCT40058,Trastuzumab,Anti-HER2,Single-arm,Placebo,Phase 2,261,8,Every 3 weeks,135,21-85,40% M/60% F,1-2,0,0,Moderate impairment,Fatigue,Hematological,Blood,Moderate,4,16.39,No,Yes,Treatment hold,Monitoring,17,22,No,Delay,Yes,No,No,Efficacy,Yes,Negative,Prior treatments,Medium
RCT34417,Pembrolizumab,Anti-PD-1,Single-arm,Placebo,Phase 2,200,7,Weekly,45,18-75,50% M/50% F,0-2,5,2,Moderate impairment,Infusion reaction,Dermatological,Skin,Moderate,4,13.14,No,No,Discontinuation,Premedication,24,39,Yes,Delay,Yes,No,Yes,,No,Positive,None,Medium
RCT45287,Bevacizumab,Anti-VEGF,Randomized,Standard of care,Phase 2,243,13,Weekly,148,18-75,60% M/40% F,1-2,5,1,Moderate impairment,Fatigue,Hematological,Hepatic,Mild,1,20.03,Yes,Yes,Discontinuation,Dose adjustment,27,11,Yes,Delay,No,No,Yes,Regulatory,No,Unknown,Age,Medium
RCT21984,Cetuximab,Anti-EGFR,Single-arm,None,Phase 2,278,15,Every 3 weeks,85,21-85,50% M/50% F,0-2,1,0,Moderate impairment,Nausea,Hepatic,Cardiac,Severe,3,17.19,Yes,Yes,Treatment hold,Monitoring,12,31,Yes,Discontinuation,No,Yes,Yes,Efficacy,Yes,Negative,Prior treatments,Unknown
RCT36406,Rituximab,Anti-CD20,Randomized,None,Phase 3,145,10,Monthly,121,18-65,60% M/40% F,1-2,3,3,Normal,Fatigue,Hepatic,Gastrointestinal,Severe,5,14.84,Yes,No,Supportive care,Monitoring,17,7,No,Reduction,Yes,Yes,No,,,Unknown,None,Low
RCT96706,Trastuzumab,Anti-HER2,Randomized,None,Phase 1,91,12,Monthly,52,18-65,50% M/50% F,0-2,5,0,Moderate impairment,Fatigue,Cardiac,Skin,Moderate,1,3.21,No,Yes,Dose reduction,Dose adjustment,18,54,No,None,No,Yes,Yes,Efficacy,No,Negative,Age,Unknown
RCT47896,Pembrolizumab,Anti-PD-1,Randomized,None,Phase 2,27,14,Bi-weekly,166,21-85,60% M/40% F,0-2,0,3,Moderate impairment,Nausea,Cardiac,Gastrointestinal,Moderate,4,3.68,Yes,Yes,Discontinuation,Premedication,23,47,No,Discontinuation,No,Yes,No,Safety,No,Unknown,Gender,Unknown
RCT24146,Bevacizumab,Anti-VEGF,Randomized,Standard of care,Phase 2,232,5,Monthly,91,21-85,60% M/40% F,0-2,4,3,Mild impairment,Rash,Hematological,Hepatic,Severe,4,24.27,No,Yes,Dose reduction,Dose adjustment,16,43,No,Discontinuation,No,No,Yes,Efficacy,Yes,None,ECOG,High
RCT28780,Cetuximab,Anti-EGFR,Crossover,Standard of care,Phase 2,20,8,Monthly,58,18-65,40% M/60% F,1-2,4,3,Normal,Infusion reaction,Hepatic,Gastrointestinal,Severe,3,8.36,Yes,No,Discontinuation,Monitoring,14,39,Yes,Delay,Yes,No,No,Competition,Yes,Unknown,Age,Low
RCT60835,Rituximab,Anti-CD20,Crossover,Placebo,Phase 1,133,12,Every 3 weeks,142,21-85,50% M/50% F,0-2,3,1,Moderate impairment,Rash,Gastrointestinal,Gastrointestinal,Mild,4,10.71,Yes,No,Treatment hold,Premedication,3,45,Yes,None,Yes,No,No,Efficacy,Yes,None,Prior treatments,Medium
RCT80313,Trastuzumab,Anti-HER2,Single-arm,Active comparator,Phase 1,84,8,Every 3 weeks,155,21-85,60% M/40% F,0-1,5,0,Mild impairment,Rash,Hepatic,Cardiac,Moderate,5,13.65,No,No,Treatment hold,Monitoring,28,30,Yes,Discontinuation,Yes,Yes,Yes,Safety,No,None,Prior treatments,Medium
RCT70404,Pembrolizumab,Anti-PD-1,Crossover,Active comparator,Phase 3,229,15,Every 3 weeks,58,18-75,50% M/50% F,0-2,5,3,Moderate impairment,Nausea,Dermatological,Cardiac,Severe,3,11.21,Yes,Yes,Discontinuation,Premedication,15,55,Yes,Delay,Yes,No,Yes,Competition,,Positive,Gender,Unknown
RCT56831,Bevacizumab,Anti-VEGF,Crossover,None,Phase 2,142,4,Bi-weekly,103,21-85,60% M/40% F,0-2,0,3,Moderate impairment,Infusion reaction,Dermatological,Blood,Severe,4,12.24,No,No,Dose reduction,Dose adjustment,5,59,Yes,None,Yes,Yes,Yes,,,None,Gender,High
RCT79383,Cetuximab,Anti-EGFR,Crossover,None,Phase 2,118,11,Monthly,129,18-65,50% M/50% F,1-2,4,0,Normal,Nausea,Hepatic,Hepatic,Mild,3,18.0,Yes,Yes,Supportive care,Patient education,3,12,Yes,Delay,Yes,Yes,Yes,Competition,Yes,None,Gender,Low
RCT84001,Rituximab,Anti-CD20,Crossover,None,Phase 1,205,9,Weekly,54,18-65,60% M/40% F,0-2,4,3,Moderate impairment,Fatigue,Dermatological,Cardiac,Mild,3,18.67,No,No,Discontinuation,Monitoring,22,22,Yes,Discontinuation,No,Yes,No,,No,None,Gender,Unknown
RCT66399,Trastuzumab,Anti-HER2,Randomized,Standard of care,Phase 1,127,15,Every 3 weeks,40,18-65,60% M/40% F,0-1,4,1,Normal,Nausea,Hepatic,Skin,Moderate,5,8.8,Yes,No,Dose reduction,Patient education,28,23,Yes,None,Yes,No,Yes,Competition,No,Negative,ECOG,Low
RCT50813,Pembrolizumab,Anti-PD-1,Single-arm,None,Phase 1,274,15,Weekly,146,≥18,60% M/40% F,1-2,3,3,Moderate impairment,Infusion reaction,Hematological,Hepatic,Mild,1,29.13,Yes,No,Dose reduction,Monitoring,19,42,No,Delay,No,No,Yes,Competition,Yes,Negative,Age,High
RCT84392,Bevacizumab,Anti-VEGF,Randomized,None,Phase 2,94,9,Every 3 weeks,50,18-65,40% M/60% F,0-2,0,0,Mild impairment,Rash,Hematological,Blood,Mild,5,14.76,Yes,Yes,Supportive care,Premedication,7,40,No,None,Yes,Yes,No,,No,Positive,Prior treatments,Unknown
RCT32829,Cetuximab,Anti-EGFR,Crossover,Standard of care,Phase 1,236,6,Monthly,164,18-75,50% M/50% F,0-1,3,3,Moderate impairment,Infusion reaction,Cardiac,Gastrointestinal,Mild,2,6.94,No,Yes,Supportive care,Dose adjustment,3,50,Yes,None,No,Yes,Yes,,No,Unknown,Prior treatments,Unknown
RCT12661,Rituximab,Anti-CD20,Randomized,Placebo,Phase 2,295,1,Every 3 weeks,64,21-85,50% M/50% F,0-1,4,2,Mild impairment,Neutropenia,Gastrointestinal,Gastrointestinal,Moderate,4,17.03,No,No,Treatment hold,Monitoring,1,46,No,Delay,No,Yes,No,Competition,,Unknown,Age,Medium
RCT83291,Trastuzumab,Anti-HER2,Crossover,Placebo,Phase 1,167,13,Weekly,81,18-65,50% M/50% F,0-2,5,3,Moderate impairment,Neutropenia,Hematological,Skin,Severe,1,29.36,Yes,No,Dose reduction,Dose adjustment,1,32,No,Discontinuation,No,No,No,,,Positive,None,Unknown
RCT36304,Pembrolizumab,Anti-PD-1,Crossover,Placebo,Phase 3,124,12,Weekly,175,21-85,40% M/60% F,0-1,1,0,Moderate impairment,Neutropenia,Hematological,Gastrointestinal,Severe,3,11.46,No,No,Discontinuation,Premedication,10,10,No,Reduction,No,Yes,No,Regulatory,Yes,None,Age,High
RCT89939,Bevacizumab,Anti-VEGF,Randomized,Active comparator,Phase 2,177,3,Weekly,89,18-65,50% M/50% F,1-2,4,0,Moderate impairment,Infusion reaction,Dermatological,Cardiac,Moderate,4,2.71,Yes,Yes,Discontinuation,Monitoring,23,22,Yes,Discontinuation,Yes,No,No,Competition,,None,Prior treatments,Low
RCT97878,Cetuximab,Anti-EGFR,Crossover,Placebo,Phase 3,295,15,Bi-weekly,147,≥18,60% M/40% F,0-2,4,1,Moderate impairment,Nausea,Hematological,Cardiac,Moderate,2,26.22,Yes,Yes,Discontinuation,Monitoring,17,49,No,Delay,Yes,No,No,Competition,Yes,Positive,ECOG,Medium
RCT72107,Rituximab,Anti-CD20,Single-arm,None,Phase 3,225,1,Weekly,120,≥18,40% M/60% F,1-2,1,3,Normal,Rash,Hematological,Skin,Moderate,5,13.31,Yes,No,Discontinuation,Dose adjustment,6,35,Yes,Reduction,Yes,No,No,,Yes,Positive,Prior treatments,Unknown
RCT68389,Trastuzumab,Anti-HER2,Single-arm,Standard of care,Phase 3,151,10,Bi-weekly,50,18-75,40% M/60% F,1-2,3,3,Mild impairment,Infusion reaction,Hematological,Cardiac,Severe,1,3.91,Yes,Yes,Treatment hold,Patient education,26,30,Yes,Reduction,No,Yes,No,Regulatory,No,None,Gender,Low
RCT23565,Pembrolizumab,Anti-PD-1,Randomized,None,Phase 3,163,12,Every 3 weeks,60,21-85,60% M/40% F,0-2,2,3,Mild impairment,Rash,Hematological,Skin,Moderate,4,26.45,No,Yes,Discontinuation,Patient education,17,34,No,None,Yes,Yes,No,Regulatory,No,None,ECOG,Low
RCT68647,Bevacizumab,Anti-VEGF,Crossover,None,Phase 3,177,11,Every 3 weeks,130,18-65,40% M/60% F,0-2,0,1,Mild impairment,Rash,Cardiac,Hepatic,Moderate,3,5.3,No,Yes,Supportive care,Premedication,4,54,No,Delay,No,No,Yes,Competition,No,Positive,Age,Medium
RCT88711,Cetuximab,Anti-EGFR,Crossover,Placebo,Phase 1,57,8,Bi-weekly,72,18-75,50% M/50% F,1-2,1,3,Normal,Neutropenia,Cardiac,Gastrointestinal,Mild,5,1.32,Yes,Yes,Dose reduction,Premedication,17,39,No,Reduction,No,Yes,Yes,Regulatory,Yes,Positive,None,Low
RCT37133,Rituximab,Anti-CD20,Crossover,Active comparator,Phase 1,213,4,Bi-weekly,31,18-65,60% M/40% F,1-2,3,0,Moderate impairment,Neutropenia,Gastrointestinal,Gastrointestinal,Mild,2,13.91,No,No,Dose reduction,Monitoring,28,54,No,Delay,No,No,Yes,,,Unknown,Gender,Unknown
RCT95953,Trastuzumab,Anti-HER2,Crossover,None,Phase 1,284,2,Weekly,153,21-85,60% M/40% F,1-2,4,0,Mild impairment,Nausea,Hematological,Cardiac,Mild,2,11.55,Yes,No,Discontinuation,Premedication,7,58,Yes,Reduction,Yes,Yes,No,Efficacy,Yes,None,Age,Low
RCT67898,Pembrolizumab,Anti-PD-1,Single-arm,Active comparator,Phase 1,236,13,Monthly,114,18-65,40% M/60% F,0-2,3,1,Normal,Infusion reaction,Dermatological,Skin,Mild,2,27.92,No,No,Dose reduction,Patient education,24,1,Yes,Delay,No,No,No,Efficacy,,Positive,Age,Unknown
RCT98405,Bevacizumab,Anti-VEGF,Single-arm,Standard of care,Phase 3,165,6,Bi-weekly,65,18-65,50% M/50% F,0-1,3,0,Moderate impairment,Fatigue,Gastrointestinal,Gastrointestinal,Moderate,3,24.24,No,Yes,Treatment hold,Dose adjustment,21,48,Yes,None,No,Yes,No,Efficacy,No,Positive,Gender,Medium
RCT81864,Cetuximab,Anti-EGFR,Crossover,Standard of care,Phase 1,67,12,Monthly,166,18-65,60% M/40% F,1-2,1,2,Mild impairment,Fatigue,Gastrointestinal,Skin,Mild,1,16.14,No,Yes,Discontinuation,Dose adjustment,11,51,No,Reduction,Yes,Yes,No,Competition,,Unknown,None,High
RCT72325,Rituximab,Anti-CD20,Single-arm,Active comparator,Phase 1,162,7,Weekly,37,18-65,50% M/50% F,0-1,5,1,Moderate impairment,Nausea,Hepatic,Cardiac,Severe,4,7.72,No,Yes,Discontinuation,Dose adjustment,7,1,No,Delay,Yes,Yes,No,Safety,No,Positive,Gender,Unknown
RCT61283,Trastuzumab,Anti-HER2,Crossover,Active comparator,Phase 1,53,2,Weekly,111,≥18,50% M/50% F,1-2,1,3,Normal,Infusion reaction,Hematological,Skin,Moderate,5,20.44,Yes,Yes,Dose reduction,Patient education,20,41,Yes,Reduction,No,No,No,Regulatory,,Positive,Age,Medium
RCT55526,Pembrolizumab,Anti-PD-1,Randomized,Placebo,Phase 3,127,7,Every 3 weeks,166,21-85,40% M/60% F,1-2,2,1,Moderate impairment,Neutropenia,Gastrointestinal,Cardiac,Severe,1,28.17,Yes,No,Dose reduction,Dose adjustment,17,46,Yes,Discontinuation,No,Yes,Yes,Regulatory,,Unknown,Age,Low
RCT94999,Bevacizumab,Anti-VEGF,Randomized,Active comparator,Phase 3,236,13,Bi-weekly,162,21-85,50% M/50% F,0-2,5,0,Normal,Rash,Hepatic,Skin,Severe,1,23.95,No,No,Treatment hold,Dose adjustment,24,38,Yes,Delay,No,Yes,No,Safety,,Negative,ECOG,Medium
RCT87821,Cetuximab,Anti-EGFR,Randomized,Active comparator,Phase 1,184,9,Every 3 weeks,70,18-65,40% M/60% F,1-2,5,3,Normal,Nausea,Dermatological,Cardiac,Moderate,5,2.9,No,No,Discontinuation,Dose adjustment,16,47,No,Discontinuation,Yes,Yes,No,,No,Positive,Age,Low
RCT45673,Rituximab,Anti-CD20,Crossover,None,Phase 3,40,9,Every 3 weeks,56,18-75,50% M/50% F,1-2,5,1,Normal,Infusion reaction,Cardiac,Hepatic,Moderate,3,8.94,Yes,Yes,Discontinuation,Premedication,13,48,No,None,No,Yes,No,Efficacy,,Unknown,Gender,Low
RCT28481,Trastuzumab,Anti-HER2,Randomized,Active comparator,Phase 2,223,12,Monthly,80,≥18,40% M/60% F,1-2,1,0,Moderate impairment,Infusion reaction,Hematological,Gastrointestinal,Severe,2,25.71,Yes,Yes,Supportive care,Premedication,6,11,No,None,Yes,Yes,No,Safety,No,Unknown,Age,High
RCT24840,Pembrolizumab,Anti-PD-1,Randomized,Standard of care,Phase 3,172,15,Bi-weekly,97,18-65,40% M/60% F,0-2,2,1,Moderate impairment,Fatigue,Hematological,Blood,Moderate,5,1.83,Yes,Yes,Treatment hold,Monitoring,1,51,No,Discontinuation,Yes,Yes,Yes,Regulatory,,Unknown,ECOG,High
RCT49107,Bevacizumab,Anti-VEGF,Single-arm,Placebo,Phase 3,226,6,Weekly,179,18-75,40% M/60% F,0-1,2,0,Normal,Rash,Hematological,Hepatic,Moderate,4,22.44,Yes,Yes,Dose reduction,Dose adjustment,5,32,Yes,None,No,Yes,Yes,Regulatory,Yes,Negative,None,Low
RCT33134,Cetuximab,Anti-EGFR,Randomized,Placebo,Phase 3,60,10,Weekly,30,21-85,50% M/50% F,1-2,0,3,Normal,Infusion reaction,Gastrointestinal,Hepatic,Severe,2,6.44,Yes,Yes,Discontinuation,Monitoring,27,60,Yes,Reduction,Yes,Yes,Yes,Efficacy,Yes,Positive,Gender,High
RCT22221,Rituximab,Anti-CD20,Crossover,Active comparator,Phase 2,51,15,Every 3 weeks,53,21-85,40% M/60% F,0-2,2,3,Normal,Nausea,Hepatic,Blood,Severe,2,14.82,No,No,Treatment hold,Patient education,24,15,Yes,Discontinuation,No,Yes,Yes,Regulatory,,Negative,Gender,Low
RCT97503,Trastuzumab,Anti-HER2,Randomized,Active comparator,Phase 2,210,7,Bi-weekly,36,18-65,50% M/50% F,1-2,2,1,Normal,Rash,Dermatological,Blood,Mild,2,27.05,No,Yes,Dose reduction,Premedication,6,18,Yes,Discontinuation,No,Yes,Yes,Competition,Yes,None,Gender,High
RCT72709,Pembrolizumab,Anti-PD-1,Crossover,Standard of care,Phase 1,89,10,Monthly,166,18-65,40% M/60% F,1-2,5,1,Mild impairment,Rash,Gastrointestinal,Skin,Severe,1,2.83,No,No,Dose reduction,Monitoring,21,28,Yes,Delay,No,Yes,No,,No,None,Gender,Medium
RCT68614,Bevacizumab,Anti-VEGF,Single-arm,Standard of care,Phase 3,198,7,Every 3 weeks,34,≥18,50% M/50% F,1-2,0,2,Moderate impairment,Fatigue,Hematological,Skin,Moderate,4,5.35,Yes,Yes,Discontinuation,Dose adjustment,19,57,No,Discontinuation,Yes,Yes,Yes,,,Positive,Gender,Unknown
RCT38499,Cetuximab,Anti-EGFR,Single-arm,Active comparator,Phase 1,124,12,Every 3 weeks,45,18-75,40% M/60% F,1-2,1,2,Moderate impairment,Fatigue,Gastrointestinal,Blood,Moderate,1,8.04,Yes,No,Supportive care,Patient education,2,52,No,Reduction,Yes,Yes,Yes,Efficacy,Yes,Unknown,None,Unknown
RCT97513,Rituximab,Anti-CD20,Crossover,None,Phase 1,143,1,Every 3 weeks,77,≥18,60% M/40% F,1-2,4,0,Normal,Rash,Gastrointestinal,Gastrointestinal,Moderate,4,18.12,Yes,No,Supportive care,Patient education,13,39,No,Discontinuation,Yes,No,No,Safety,No,Positive,Gender,Medium
RCT86276,Trastuzumab,Anti-HER2,Single-arm,None,Phase 3,259,12,Monthly,157,18-75,60% M/40% F,0-1,0,1,Mild impairment,Rash,Hematological,Gastrointestinal,Moderate,1,12.82,Yes,No,Supportive care,Premedication,4,12,No,Delay,No,Yes,No,Efficacy,No,Positive,Age,Medium
RCT34537,Pembrolizumab,Anti-PD-1,Crossover,Standard of care,Phase 1,22,15,Weekly,157,18-75,60% M/40% F,0-1,5,3,Moderate impairment,Nausea,Hematological,Gastrointestinal,Severe,3,26.04,No,No,Supportive care,Dose adjustment,28,36,Yes,Delay,Yes,No,Yes,Efficacy,Yes,None,None,Unknown
RCT38853,Bevacizumab,Anti-VEGF,Randomized,None,Phase 1,253,13,Bi-weekly,68,18-65,60% M/40% F,0-1,3,0,Mild impairment,Nausea,Cardiac,Cardiac,Severe,3,1.56,Yes,No,Supportive care,Monitoring,10,43,No,Reduction,Yes,No,Yes,Safety,No,None,None,High
RCT84490,Cetuximab,Anti-EGFR,Randomized,None,Phase 1,91,13,Weekly,87,≥18,60% M/40% F,0-1,0,0,Normal,Nausea,Cardiac,Hepatic,Severe,3,11.23,No,Yes,Discontinuation,Dose adjustment,19,23,No,Discontinuation,Yes,No,Yes,Regulatory,No,None,ECOG,Unknown
RCT32205,Rituximab,Anti-CD20,Randomized,Active comparator,Phase 3,123,6,Weekly,158,21-85,40% M/60% F,0-1,3,2,Mild impairment,Rash,Hematological,Blood,Mild,2,15.79,No,No,Treatment hold,Premedication,21,14,Yes,Reduction,Yes,No,No,,No,Unknown,None,High
RCT68560,Trastuzumab,Anti-HER2,Randomized,None,Phase 2,77,9,Bi-weekly,67,21-85,40% M/60% F,1-2,2,2,Moderate impairment,Nausea,Hematological,Hepatic,Moderate,5,18.03,Yes,No,Supportive care,Premedication,28,35,No,None,No,No,No,,,Unknown,None,Low
RCT60519,Pembrolizumab,Anti-PD-1,Single-arm,Standard of care,Phase 3,132,10,Bi-weekly,150,18-65,50% M/50% F,1-2,4,2,Normal,Neutropenia,Gastrointestinal,Skin,Mild,1,2.26,No,Yes,Treatment hold,Dose adjustment,9,14,No,None,Yes,No,No,Safety,,Positive,Age,High
RCT84499,Bevacizumab,Anti-VEGF,Randomized,None,Phase 2,48,9,Every 3 weeks,130,18-75,40% M/60% F,0-1,0,2,Normal,Fatigue,Dermatological,Blood,Moderate,1,12.18,No,No,Supportive care,Dose adjustment,18,39,Yes,Reduction,Yes,No,No,Safety,Yes,Negative,None,Medium
RCT22713,Cetuximab,Anti-EGFR,Crossover,Placebo,Phase 2,209,2,Bi-weekly,58,21-85,40% M/60% F,1-2,0,0,Mild impairment,Fatigue,Hepatic,Blood,Severe,2,8.9,No,No,Supportive care,Patient education,3,34,Yes,Reduction,Yes,Yes,No,Efficacy,,None,ECOG,High
RCT13281,Rituximab,Anti-CD20,Single-arm,None,Phase 3,248,7,Weekly,121,18-65,60% M/40% F,0-2,0,2,Moderate impairment,Infusion reaction,Dermatological,Blood,Mild,2,19.91,No,No,Discontinuation,Patient education,19,56,No,Reduction,Yes,No,No,Safety,No,Negative,Age,Unknown
RCT46373,Trastuzumab,Anti-HER2,Randomized,Standard of care,Phase 1,204,11,Monthly,143,21-85,50% M/50% F,1-2,1,2,Normal,Fatigue,Hepatic,Hepatic,Severe,5,5.12,No,No,Treatment hold,Patient education,22,54,Yes,None,Yes,Yes,Yes,Regulatory,Yes,None,Age,Low
RCT51550,Pembrolizumab,Anti-PD-1,Crossover,Placebo,Phase 2,250,7,Monthly,53,21-85,60% M/40% F,0-1,5,2,Mild impairment,Nausea,Gastrointestinal,Blood,Moderate,1,22.73,Yes,Yes,Dose reduction,Monitoring,26,33,No,Discontinuation,Yes,Yes,Yes,Safety,,Unknown,None,Medium
RCT21483,Bevacizumab,Anti-VEGF,Randomized,Standard of care,Phase 1,266,9,Monthly,118,18-75,60% M/40% F,1-2,3,1,Moderate impairment,Neutropenia,Gastrointestinal,Cardiac,Moderate,5,7.18,Yes,No,Treatment hold,Premedication,27,25,Yes,Discontinuation,No,Yes,Yes,Safety,Yes,None,Gender,Unknown
RCT18804,Cetuximab,Anti-EGFR,Single-arm,Placebo,Phase 1,261,8,Monthly,86,21-85,50% M/50% F,1-2,0,0,Mild impairment,Fatigue,Gastrointestinal,Cardiac,Mild,3,26.56,Yes,No,Discontinuation,Monitoring,14,45,No,Delay,No,No,Yes,Regulatory,No,Positive,Age,Medium
RCT10331,Rituximab,Anti-CD20,Randomized,Placebo,Phase 3,204,12,Monthly,178,21-85,40% M/60% F,0-2,5,1,Moderate impairment,Infusion reaction,Hematological,Hepatic,Severe,3,19.09,Yes,Yes,Treatment hold,Dose adjustment,6,35,Yes,Discontinuation,No,No,No,,,None,ECOG,Medium
RCT77176,Trastuzumab,Anti-HER2,Crossover,Placebo,Phase 3,94,4,Bi-weekly,127,18-65,40% M/60% F,1-2,2,0,Mild impairment,Fatigue,Dermatological,Gastrointestinal,Severe,3,10.88,No,Yes,Treatment hold,Dose adjustment,28,41,No,Discontinuation,Yes,Yes,Yes,Competition,Yes,None,None,High
RCT55892,Pembrolizumab,Anti-PD-1,Randomized,Active comparator,Phase 2,183,9,Weekly,34,≥18,60% M/40% F,0-2,2,2,Normal,Neutropenia,Cardiac,Cardiac,Mild,2,17.82,Yes,Yes,Discontinuation,Premedication,7,14,Yes,Reduction,No,No,No,Safety,Yes,Unknown,Age,Low
RCT52263,Bevacizumab,Anti-VEGF,Crossover,Placebo,Phase 2,92,13,Monthly,115,18-65,50% M/50% F,1-2,4,2,Normal,Neutropenia,Cardiac,Cardiac,Mild,1,18.9,Yes,Yes,Dose reduction,Premedication,23,12,No,Delay,Yes,Yes,No,Regulatory,Yes,Unknown,Age,Medium
