nct_id,official_title,intervention_name,target,indication,toxicity_profile,phase,enrollment,status
NCT00000420,Study of Rituximab in B-cell lymphoma,Rituximab,CD20,B-cell lymphoma,infusion_reactions,Phase 3,2640,Suspended
NCT00000421,Study of Daratumumab in Multiple myeloma,Daratumumab,CD38,Multiple myeloma,infusion_reactions,Phase 4,2175,Completed
NCT00000422,Study of Bevacizumab in Multiple cancers,Bevacizumab,VEGF,Multiple cancers,vascular,Phase 3,3024,Completed
NCT00000423,Study of Tocilizumab in Rheumatoid arthritis,Tocilizumab,IL-6,Rheumatoid arthritis,infection,Phase 3,1119,Terminated
NCT00000424,Study of Cetuximab in Colorectal cancer,Cetuximab,EGFR,Colorectal cancer,skin_toxicity,Phase 4,3702,Suspended
NCT00000425,Study of Tocilizumab in Rheumatoid arthritis,Tocilizumab,IL-6,Rheumatoid arthritis,infection,Phase 2,1036,Suspended
NCT00000426,Study of Tocilizumab in Rheumatoid arthritis,Tocilizumab,IL-6,Rheumatoid arthritis,infection,Phase 3,776,Suspended
NCT00000427,Study of Trastuzumab in Breast cancer,Trastuzumab,HER2,Breast cancer,cardiotoxicity,Phase 4,1578,Terminated
NCT00000428,Study of Tocilizumab in Rheumatoid arthritis,Tocilizumab,IL-6,Rheumatoid arthritis,infection,Phase 1,183,Terminated
NCT00000429,Study of Adalimumab in Autoimmune,Adalimumab,TNF-alpha,Autoimmune,infection,Phase 3,3752,Suspended
NCT00000430,Study of Pembrolizumab in Multiple cancers,Pembrolizumab,PD-1,Multiple cancers,immune_related,Phase 4,2979,Suspended
NCT00000431,Study of Rituximab in B-cell lymphoma,Rituximab,CD20,B-cell lymphoma,infusion_reactions,Phase 3,3663,Terminated
NCT00000432,Study of Rituximab in B-cell lymphoma,Rituximab,CD20,B-cell lymphoma,infusion_reactions,Phase 1,1394,Suspended
NCT00000433,Study of Tocilizumab in Rheumatoid arthritis,Tocilizumab,IL-6,Rheumatoid arthritis,infection,Phase 2,1971,Completed
NCT00000434,Study of Pembrolizumab in Multiple cancers,Pembrolizumab,PD-1,Multiple cancers,immune_related,Phase 4,385,Recruiting
NCT00000435,Study of Trastuzumab in Breast cancer,Trastuzumab,HER2,Breast cancer,cardiotoxicity,Phase 2,1614,Terminated
NCT00000436,Study of Tocilizumab in Rheumatoid arthritis,Tocilizumab,IL-6,Rheumatoid arthritis,infection,Phase 4,4746,Completed
NCT00000437,Study of Ipilimumab in Melanoma,Ipilimumab,CTLA-4,Melanoma,immune_related,Phase 2,1410,Suspended
NCT00000438,Study of Tocilizumab in Rheumatoid arthritis,Tocilizumab,IL-6,Rheumatoid arthritis,infection,Phase 3,3736,Completed
NCT00000439,Study of Ipilimumab in Melanoma,Ipilimumab,CTLA-4,Melanoma,immune_related,Phase 2,1104,Terminated
NCT00000440,Study of Cetuximab in Colorectal cancer,Cetuximab,EGFR,Colorectal cancer,skin_toxicity,Phase 3,2383,Recruiting
NCT00000441,Study of Trastuzumab in Breast cancer,Trastuzumab,HER2,Breast cancer,cardiotoxicity,Phase 1,1526,Recruiting
NCT00000442,Study of Blinatumomab in ALL,Blinatumomab,CD19/CD3,ALL,neurotoxicity,Phase 4,4701,Completed
NCT00000443,Study of Adalimumab in Autoimmune,Adalimumab,TNF-alpha,Autoimmune,infection,Phase 3,3755,Recruiting
NCT00000444,Study of Ipilimumab in Melanoma,Ipilimumab,CTLA-4,Melanoma,immune_related,Phase 3,4123,Recruiting
NCT00000445,Study of Trastuzumab in Breast cancer,Trastuzumab,HER2,Breast cancer,cardiotoxicity,Phase 2,1766,Completed
NCT00000446,Study of Blinatumomab in ALL,Blinatumomab,CD19/CD3,ALL,neurotoxicity,Phase 2,1860,Suspended
NCT00000447,Study of Trastuzumab in Breast cancer,Trastuzumab,HER2,Breast cancer,cardiotoxicity,Phase 3,2946,Completed
NCT00000448,Study of Daratumumab in Multiple myeloma,Daratumumab,CD38,Multiple myeloma,infusion_reactions,Phase 3,2557,Recruiting
NCT00000449,Study of Pembrolizumab in Multiple cancers,Pembrolizumab,PD-1,Multiple cancers,immune_related,Phase 3,4267,Recruiting
NCT00000450,Study of Trastuzumab in Breast cancer,Trastuzumab,HER2,Breast cancer,cardiotoxicity,Phase 2,1642,Recruiting
NCT00000451,Study of Bevacizumab in Multiple cancers,Bevacizumab,VEGF,Multiple cancers,vascular,Phase 4,315,Terminated
NCT00000452,Study of Daratumumab in Multiple myeloma,Daratumumab,CD38,Multiple myeloma,infusion_reactions,Phase 3,3928,Recruiting
NCT00000453,Study of Ipilimumab in Melanoma,Ipilimumab,CTLA-4,Melanoma,immune_related,Phase 1,154,Terminated
NCT00000454,Study of Cetuximab in Colorectal cancer,Cetuximab,EGFR,Colorectal cancer,skin_toxicity,Phase 4,4406,Suspended
NCT00000455,Study of Cetuximab in Colorectal cancer,Cetuximab,EGFR,Colorectal cancer,skin_toxicity,Phase 1,276,Terminated
NCT00000456,Study of Trastuzumab in Breast cancer,Trastuzumab,HER2,Breast cancer,cardiotoxicity,Phase 4,3916,Terminated
NCT00000457,Study of Pembrolizumab in Multiple cancers,Pembrolizumab,PD-1,Multiple cancers,immune_related,Phase 2,1592,Recruiting
NCT00000458,Study of Cetuximab in Colorectal cancer,Cetuximab,EGFR,Colorectal cancer,skin_toxicity,Phase 1,1722,Completed
NCT00000459,Study of Daratumumab in Multiple myeloma,Daratumumab,CD38,Multiple myeloma,infusion_reactions,Phase 2,642,Recruiting
NCT00000460,Study of Pembrolizumab in Multiple cancers,Pembrolizumab,PD-1,Multiple cancers,immune_related,Phase 3,1947,Terminated
NCT00000461,Study of Daratumumab in Multiple myeloma,Daratumumab,CD38,Multiple myeloma,infusion_reactions,Phase 3,746,Terminated
NCT00000462,Study of Bevacizumab in Multiple cancers,Bevacizumab,VEGF,Multiple cancers,vascular,Phase 3,1125,Terminated
NCT00000463,Study of Ipilimumab in Melanoma,Ipilimumab,CTLA-4,Melanoma,immune_related,Phase 1,1049,Recruiting
NCT00000464,Study of Ipilimumab in Melanoma,Ipilimumab,CTLA-4,Melanoma,immune_related,Phase 2,370,Terminated
NCT00000465,Study of Ipilimumab in Melanoma,Ipilimumab,CTLA-4,Melanoma,immune_related,Phase 1,1710,Completed
NCT00000466,Study of Trastuzumab in Breast cancer,Trastuzumab,HER2,Breast cancer,cardiotoxicity,Phase 1,1962,Terminated
NCT00000467,Study of Bevacizumab in Multiple cancers,Bevacizumab,VEGF,Multiple cancers,vascular,Phase 4,348,Suspended
NCT00000468,Study of Daratumumab in Multiple myeloma,Daratumumab,CD38,Multiple myeloma,infusion_reactions,Phase 3,2574,Suspended
NCT00000469,Study of Bevacizumab in Multiple cancers,Bevacizumab,VEGF,Multiple cancers,vascular,Phase 4,2536,Suspended
NCT00000470,Study of Trastuzumab in Breast cancer,Trastuzumab,HER2,Breast cancer,cardiotoxicity,Phase 1,343,Suspended
NCT00000471,Study of Cetuximab in Colorectal cancer,Cetuximab,EGFR,Colorectal cancer,skin_toxicity,Phase 4,3904,Recruiting
NCT00000472,Study of Tocilizumab in Rheumatoid arthritis,Tocilizumab,IL-6,Rheumatoid arthritis,infection,Phase 2,660,Terminated
NCT00000473,Study of Tocilizumab in Rheumatoid arthritis,Tocilizumab,IL-6,Rheumatoid arthritis,infection,Phase 4,1171,Terminated
NCT00000474,Study of Daratumumab in Multiple myeloma,Daratumumab,CD38,Multiple myeloma,infusion_reactions,Phase 1,673,Recruiting
NCT00000475,Study of Blinatumomab in ALL,Blinatumomab,CD19/CD3,ALL,neurotoxicity,Phase 1,567,Suspended
NCT00000476,Study of Bevacizumab in Multiple cancers,Bevacizumab,VEGF,Multiple cancers,vascular,Phase 2,218,Completed
NCT00000477,Study of Adalimumab in Autoimmune,Adalimumab,TNF-alpha,Autoimmune,infection,Phase 4,3525,Recruiting
NCT00000478,Study of Pembrolizumab in Multiple cancers,Pembrolizumab,PD-1,Multiple cancers,immune_related,Phase 3,4832,Terminated
NCT00000479,Study of Bevacizumab in Multiple cancers,Bevacizumab,VEGF,Multiple cancers,vascular,Phase 2,1040,Suspended
NCT00000480,Study of Blinatumomab in ALL,Blinatumomab,CD19/CD3,ALL,neurotoxicity,Phase 3,4174,Completed
NCT00000481,Study of Trastuzumab in Breast cancer,Trastuzumab,HER2,Breast cancer,cardiotoxicity,Phase 4,4240,Suspended
NCT00000482,Study of Bevacizumab in Multiple cancers,Bevacizumab,VEGF,Multiple cancers,vascular,Phase 2,1214,Terminated
NCT00000483,Study of Rituximab in B-cell lymphoma,Rituximab,CD20,B-cell lymphoma,infusion_reactions,Phase 1,596,Suspended
NCT00000484,Study of Ipilimumab in Melanoma,Ipilimumab,CTLA-4,Melanoma,immune_related,Phase 4,2440,Completed
NCT00000485,Study of Trastuzumab in Breast cancer,Trastuzumab,HER2,Breast cancer,cardiotoxicity,Phase 4,1197,Terminated
NCT00000486,Study of Tocilizumab in Rheumatoid arthritis,Tocilizumab,IL-6,Rheumatoid arthritis,infection,Phase 4,3097,Completed
NCT00000487,Study of Cetuximab in Colorectal cancer,Cetuximab,EGFR,Colorectal cancer,skin_toxicity,Phase 1,1187,Recruiting
NCT00000488,Study of Tocilizumab in Rheumatoid arthritis,Tocilizumab,IL-6,Rheumatoid arthritis,infection,Phase 3,702,Suspended
NCT00000489,Study of Daratumumab in Multiple myeloma,Daratumumab,CD38,Multiple myeloma,infusion_reactions,Phase 4,4604,Terminated
NCT00000490,Study of Ipilimumab in Melanoma,Ipilimumab,CTLA-4,Melanoma,immune_related,Phase 1,283,Completed
NCT00000491,Study of Cetuximab in Colorectal cancer,Cetuximab,EGFR,Colorectal cancer,skin_toxicity,Phase 3,2877,Terminated
NCT00000492,Study of Pembrolizumab in Multiple cancers,Pembrolizumab,PD-1,Multiple cancers,immune_related,Phase 2,1253,Suspended
NCT00000493,Study of Daratumumab in Multiple myeloma,Daratumumab,CD38,Multiple myeloma,infusion_reactions,Phase 1,112,Completed
NCT00000494,Study of Pembrolizumab in Multiple cancers,Pembrolizumab,PD-1,Multiple cancers,immune_related,Phase 3,3980,Suspended
NCT00000495,Study of Pembrolizumab in Multiple cancers,Pembrolizumab,PD-1,Multiple cancers,immune_related,Phase 2,691,Terminated
NCT00000496,Study of Pembrolizumab in Multiple cancers,Pembrolizumab,PD-1,Multiple cancers,immune_related,Phase 4,2551,Terminated
NCT00000497,Study of Daratumumab in Multiple myeloma,Daratumumab,CD38,Multiple myeloma,infusion_reactions,Phase 4,4711,Terminated
NCT00000498,Study of Blinatumomab in ALL,Blinatumomab,CD19/CD3,ALL,neurotoxicity,Phase 1,774,Terminated
NCT00000499,Study of Trastuzumab in Breast cancer,Trastuzumab,HER2,Breast cancer,cardiotoxicity,Phase 4,4881,Terminated
