nct_id,brief_title,official_title,study_type,phase,enrollment,start_date,completion_date,overall_status,lead_sponsor,study_design,primary_purpose,antibody_name,antibody_category,indication
NCT18471639,Study of Ranibizumab in Colorectal Cancer,A Phase 3 Study of Ranibizumab for the Treatment of Colorectal Cancer,Observational,Phase 3,582,2024-11-27,2026-04-21,Suspended,NIH,Parallel Assignment,Diagnostic,Ranibizumab,Anti-VEGF,Colorectal Cancer
NCT65835095,Study of Ranibizumab in Colorectal Cancer,A Phase 3 Study of Ranibizumab for the Treatment of Colorectal Cancer,Interventional,Phase 3,161,2022-12-04,2024-03-10,Terminated,NIH,Crossover Assignment,Treatment,Ranibizumab,Anti-VEGF,Colorectal Cancer
NCT71331350,Study of Ranibizumab in Colorectal Cancer,A Phase 4 Study of Ranibizumab for the Treatment of Colorectal Cancer,Observational,Phase 4,947,2023-08-09,2024-06-21,Suspended,NIH,Single Group Assignment,Diagnostic,Ranibizumab,Anti-VEGF,Colorectal Cancer
NCT83319508,Study of Ranibizumab in Colorectal Cancer,A Phase 4 Study of Ranibizumab for the Treatment of Colorectal Cancer,Observational,Phase 4,288,2023-06-30,2023-10-17,Completed,Other,Parallel Assignment,Supportive Care,Ranibizumab,Anti-VEGF,Colorectal Cancer
NCT80748979,Study of Ranibizumab in Lung Cancer,A Phase 1 Study of Ranibizumab for the Treatment of Lung Cancer,Interventional,Phase 1,730,2024-09-08,2025-02-01,Suspended,Other,Parallel Assignment,Supportive Care,Ranibizumab,Anti-VEGF,Lung Cancer
NCT86164621,Study of Ranibizumab in Lung Cancer,A Phase 1 Study of Ranibizumab for the Treatment of Lung Cancer,Interventional,Phase 1,859,2023-12-03,2025-06-10,Terminated,Industry,Parallel Assignment,Prevention,Ranibizumab,Anti-VEGF,Lung Cancer
NCT15283476,Study of Ranibizumab in Lung Cancer,A Phase 1 Study of Ranibizumab for the Treatment of Lung Cancer,Interventional,Phase 1,299,2022-01-09,2022-09-15,Recruiting,Industry,Parallel Assignment,Treatment,Ranibizumab,Anti-VEGF,Lung Cancer
NCT79560343,Study of Ranibizumab in Lung Cancer,A Phase 2 Study of Ranibizumab for the Treatment of Lung Cancer,Interventional,Phase 2,225,2025-01-18,2025-12-12,Suspended,NIH,Parallel Assignment,Treatment,Ranibizumab,Anti-VEGF,Lung Cancer
NCT30751078,Study of Ranibizumab in Lung Cancer,A Phase 2 Study of Ranibizumab for the Treatment of Lung Cancer,Interventional,Phase 2,173,2020-08-22,2021-06-19,Completed,Other,Single Group Assignment,Prevention,Ranibizumab,Anti-VEGF,Lung Cancer
NCT85616530,Study of Ranibizumab in Lung Cancer,A Phase 2 Study of Ranibizumab for the Treatment of Lung Cancer,Observational,Phase 2,531,2024-06-14,2025-09-14,Terminated,NIH,Parallel Assignment,Diagnostic,Ranibizumab,Anti-VEGF,Lung Cancer
NCT53998641,Study of Ranibizumab in Lung Cancer,A Phase 3 Study of Ranibizumab for the Treatment of Lung Cancer,Interventional,Phase 3,434,2021-09-25,2023-04-16,Terminated,NIH,Single Group Assignment,Prevention,Ranibizumab,Anti-VEGF,Lung Cancer
NCT71515230,Study of Ranibizumab in Lung Cancer,A Phase 3 Study of Ranibizumab for the Treatment of Lung Cancer,Observational,Phase 3,252,2024-03-08,2025-04-21,Suspended,Industry,Single Group Assignment,Supportive Care,Ranibizumab,Anti-VEGF,Lung Cancer
NCT65927640,Study of Ranibizumab in Lung Cancer,A Phase 4 Study of Ranibizumab for the Treatment of Lung Cancer,Observational,Phase 4,227,2021-07-04,2022-02-08,Completed,Industry,Single Group Assignment,Prevention,Ranibizumab,Anti-VEGF,Lung Cancer
NCT12503048,Study of Ranibizumab in Lung Cancer,A Phase 4 Study of Ranibizumab for the Treatment of Lung Cancer,Observational,Phase 4,918,2024-09-21,2026-04-20,Recruiting,Other,Crossover Assignment,Treatment,Ranibizumab,Anti-VEGF,Lung Cancer
NCT33948851,Study of Ranibizumab in Ovarian Cancer,A Phase 1 Study of Ranibizumab for the Treatment of Ovarian Cancer,Observational,Phase 1,574,2022-01-25,2022-06-11,Terminated,Industry,Crossover Assignment,Treatment,Ranibizumab,Anti-VEGF,Ovarian Cancer
NCT21950629,Study of Ranibizumab in Ovarian Cancer,A Phase 1 Study of Ranibizumab for the Treatment of Ovarian Cancer,Observational,Phase 1,701,2023-03-03,2023-06-19,Suspended,Industry,Single Group Assignment,Diagnostic,Ranibizumab,Anti-VEGF,Ovarian Cancer
NCT66231169,Study of Ranibizumab in Ovarian Cancer,A Phase 2 Study of Ranibizumab for the Treatment of Ovarian Cancer,Observational,Phase 2,612,2025-01-16,2025-11-15,Completed,NIH,Crossover Assignment,Prevention,Ranibizumab,Anti-VEGF,Ovarian Cancer
NCT92095482,Study of Ranibizumab in Ovarian Cancer,A Phase 3 Study of Ranibizumab for the Treatment of Ovarian Cancer,Observational,Phase 3,904,2024-02-29,2025-12-04,Terminated,Industry,Single Group Assignment,Supportive Care,Ranibizumab,Anti-VEGF,Ovarian Cancer
NCT46905073,Study of Ranibizumab in Ovarian Cancer,A Phase 3 Study of Ranibizumab for the Treatment of Ovarian Cancer,Observational,Phase 3,106,2020-06-27,2021-03-02,Terminated,Other,Crossover Assignment,Diagnostic,Ranibizumab,Anti-VEGF,Ovarian Cancer
NCT50887043,Study of Ranibizumab in Ovarian Cancer,A Phase 3 Study of Ranibizumab for the Treatment of Ovarian Cancer,Observational,Phase 3,368,2024-11-17,2026-08-20,Completed,Industry,Crossover Assignment,Treatment,Ranibizumab,Anti-VEGF,Ovarian Cancer
NCT32940316,Study of Ranibizumab in Ovarian Cancer,A Phase 4 Study of Ranibizumab for the Treatment of Ovarian Cancer,Interventional,Phase 4,647,2023-02-01,2024-04-20,Terminated,Other,Crossover Assignment,Treatment,Ranibizumab,Anti-VEGF,Ovarian Cancer
NCT32427062,Study of Ranibizumab in Ovarian Cancer,A Phase 4 Study of Ranibizumab for the Treatment of Ovarian Cancer,Interventional,Phase 4,839,2021-01-12,2021-11-26,Suspended,Other,Crossover Assignment,Prevention,Ranibizumab,Anti-VEGF,Ovarian Cancer
NCT30875486,Study of Ranibizumab in Ovarian Cancer,A Phase 4 Study of Ranibizumab for the Treatment of Ovarian Cancer,Observational,Phase 4,637,2025-03-06,2025-07-16,Recruiting,Other,Crossover Assignment,Diagnostic,Ranibizumab,Anti-VEGF,Ovarian Cancer
NCT89856329,Study of Aflibercept in Colorectal Cancer,A Phase 1 Study of Aflibercept for the Treatment of Colorectal Cancer,Observational,Phase 1,188,2020-06-30,2020-10-30,Completed,Other,Crossover Assignment,Supportive Care,Aflibercept,Anti-VEGF,Colorectal Cancer
NCT38428726,Study of Aflibercept in Colorectal Cancer,A Phase 1 Study of Aflibercept for the Treatment of Colorectal Cancer,Observational,Phase 1,807,2020-12-14,2021-03-14,Suspended,Industry,Crossover Assignment,Supportive Care,Aflibercept,Anti-VEGF,Colorectal Cancer
NCT69062284,Study of Aflibercept in Colorectal Cancer,A Phase 1 Study of Aflibercept for the Treatment of Colorectal Cancer,Interventional,Phase 1,307,2025-03-18,2026-03-22,Completed,NIH,Crossover Assignment,Prevention,Aflibercept,Anti-VEGF,Colorectal Cancer
NCT60969132,Study of Aflibercept in Colorectal Cancer,A Phase 2 Study of Aflibercept for the Treatment of Colorectal Cancer,Observational,Phase 2,951,2021-04-24,2021-12-02,Completed,Other,Crossover Assignment,Prevention,Aflibercept,Anti-VEGF,Colorectal Cancer
NCT93347085,Study of Aflibercept in Colorectal Cancer,A Phase 2 Study of Aflibercept for the Treatment of Colorectal Cancer,Interventional,Phase 2,227,2021-09-29,2022-01-17,Suspended,NIH,Crossover Assignment,Treatment,Aflibercept,Anti-VEGF,Colorectal Cancer
NCT42621682,Study of Aflibercept in Colorectal Cancer,A Phase 3 Study of Aflibercept for the Treatment of Colorectal Cancer,Interventional,Phase 3,554,2022-10-23,2024-09-04,Suspended,NIH,Crossover Assignment,Treatment,Aflibercept,Anti-VEGF,Colorectal Cancer
NCT46851208,Study of Aflibercept in Colorectal Cancer,A Phase 3 Study of Aflibercept for the Treatment of Colorectal Cancer,Interventional,Phase 3,940,2024-12-15,2026-07-31,Recruiting,NIH,Parallel Assignment,Prevention,Aflibercept,Anti-VEGF,Colorectal Cancer
NCT71538311,Study of Aflibercept in Colorectal Cancer,A Phase 3 Study of Aflibercept for the Treatment of Colorectal Cancer,Observational,Phase 3,526,2021-07-26,2022-06-17,Suspended,Other,Parallel Assignment,Diagnostic,Aflibercept,Anti-VEGF,Colorectal Cancer
NCT22125377,Study of Aflibercept in Colorectal Cancer,A Phase 4 Study of Aflibercept for the Treatment of Colorectal Cancer,Observational,Phase 4,389,2024-03-15,2026-03-09,Terminated,Other,Parallel Assignment,Treatment,Aflibercept,Anti-VEGF,Colorectal Cancer
NCT38335861,Study of Aflibercept in Lung Cancer,A Phase 1 Study of Aflibercept for the Treatment of Lung Cancer,Observational,Phase 1,458,2024-10-28,2025-09-26,Completed,NIH,Parallel Assignment,Diagnostic,Aflibercept,Anti-VEGF,Lung Cancer
NCT63206947,Study of Aflibercept in Lung Cancer,A Phase 1 Study of Aflibercept for the Treatment of Lung Cancer,Interventional,Phase 1,737,2020-08-25,2021-07-02,Terminated,Industry,Single Group Assignment,Supportive Care,Aflibercept,Anti-VEGF,Lung Cancer
NCT53563341,Study of Aflibercept in Lung Cancer,A Phase 2 Study of Aflibercept for the Treatment of Lung Cancer,Observational,Phase 2,319,2024-03-07,2025-08-13,Terminated,Industry,Parallel Assignment,Supportive Care,Aflibercept,Anti-VEGF,Lung Cancer
NCT94925643,Study of Aflibercept in Lung Cancer,A Phase 2 Study of Aflibercept for the Treatment of Lung Cancer,Interventional,Phase 2,472,2021-06-29,2021-12-15,Terminated,Other,Crossover Assignment,Treatment,Aflibercept,Anti-VEGF,Lung Cancer
NCT38572955,Study of Aflibercept in Lung Cancer,A Phase 2 Study of Aflibercept for the Treatment of Lung Cancer,Observational,Phase 2,391,2024-01-26,2024-10-07,Suspended,Other,Parallel Assignment,Prevention,Aflibercept,Anti-VEGF,Lung Cancer
NCT44754290,Study of Aflibercept in Lung Cancer,A Phase 3 Study of Aflibercept for the Treatment of Lung Cancer,Observational,Phase 3,490,2020-10-26,2022-02-22,Terminated,Industry,Crossover Assignment,Supportive Care,Aflibercept,Anti-VEGF,Lung Cancer
NCT65193257,Study of Aflibercept in Lung Cancer,A Phase 3 Study of Aflibercept for the Treatment of Lung Cancer,Interventional,Phase 3,890,2023-10-22,2024-12-18,Suspended,Industry,Single Group Assignment,Supportive Care,Aflibercept,Anti-VEGF,Lung Cancer
NCT58362627,Study of Aflibercept in Lung Cancer,A Phase 4 Study of Aflibercept for the Treatment of Lung Cancer,Interventional,Phase 4,443,2023-04-14,2023-11-24,Suspended,Other,Crossover Assignment,Treatment,Aflibercept,Anti-VEGF,Lung Cancer
NCT58416245,Study of Aflibercept in Lung Cancer,A Phase 4 Study of Aflibercept for the Treatment of Lung Cancer,Interventional,Phase 4,695,2021-06-30,2022-09-08,Terminated,NIH,Crossover Assignment,Diagnostic,Aflibercept,Anti-VEGF,Lung Cancer
NCT68466127,Study of Aflibercept in Lung Cancer,A Phase 4 Study of Aflibercept for the Treatment of Lung Cancer,Observational,Phase 4,574,2024-05-05,2025-06-12,Suspended,NIH,Single Group Assignment,Treatment,Aflibercept,Anti-VEGF,Lung Cancer
NCT93609410,Study of Aflibercept in Ovarian Cancer,A Phase 1 Study of Aflibercept for the Treatment of Ovarian Cancer,Observational,Phase 1,178,2021-01-05,2021-07-12,Completed,Industry,Parallel Assignment,Treatment,Aflibercept,Anti-VEGF,Ovarian Cancer
NCT64850646,Study of Aflibercept in Ovarian Cancer,A Phase 2 Study of Aflibercept for the Treatment of Ovarian Cancer,Interventional,Phase 2,873,2020-04-28,2021-11-27,Recruiting,Industry,Single Group Assignment,Diagnostic,Aflibercept,Anti-VEGF,Ovarian Cancer
NCT79583245,Study of Aflibercept in Ovarian Cancer,A Phase 3 Study of Aflibercept for the Treatment of Ovarian Cancer,Observational,Phase 3,54,2023-11-13,2024-01-28,Completed,Other,Crossover Assignment,Prevention,Aflibercept,Anti-VEGF,Ovarian Cancer
NCT85193572,Study of Aflibercept in Ovarian Cancer,A Phase 4 Study of Aflibercept for the Treatment of Ovarian Cancer,Interventional,Phase 4,592,2020-08-27,2021-05-03,Suspended,Industry,Single Group Assignment,Treatment,Aflibercept,Anti-VEGF,Ovarian Cancer
NCT61798014,Study of Aflibercept in Ovarian Cancer,A Phase 4 Study of Aflibercept for the Treatment of Ovarian Cancer,Interventional,Phase 4,764,2023-11-19,2024-06-27,Recruiting,NIH,Crossover Assignment,Supportive Care,Aflibercept,Anti-VEGF,Ovarian Cancer
NCT20608576,Study of Aflibercept in Ovarian Cancer,A Phase 4 Study of Aflibercept for the Treatment of Ovarian Cancer,Interventional,Phase 4,947,2020-09-27,2021-04-20,Suspended,Industry,Single Group Assignment,Diagnostic,Aflibercept,Anti-VEGF,Ovarian Cancer
NCT16668712,Study of Pembrolizumab in Melanoma,A Phase 1 Study of Pembrolizumab for the Treatment of Melanoma,Observational,Phase 1,563,2022-11-30,2024-01-21,Completed,NIH,Crossover Assignment,Supportive Care,Pembrolizumab,Anti-PD-1,Melanoma
NCT21782304,Study of Pembrolizumab in Melanoma,A Phase 1 Study of Pembrolizumab for the Treatment of Melanoma,Interventional,Phase 1,949,2023-08-26,2024-01-01,Recruiting,NIH,Parallel Assignment,Treatment,Pembrolizumab,Anti-PD-1,Melanoma
NCT44376605,Study of Pembrolizumab in Melanoma,A Phase 1 Study of Pembrolizumab for the Treatment of Melanoma,Observational,Phase 1,883,2021-07-29,2023-03-09,Completed,Other,Parallel Assignment,Treatment,Pembrolizumab,Anti-PD-1,Melanoma
NCT36962884,Study of Pembrolizumab in Melanoma,A Phase 2 Study of Pembrolizumab for the Treatment of Melanoma,Interventional,Phase 2,223,2022-08-06,2024-07-22,Completed,Other,Single Group Assignment,Supportive Care,Pembrolizumab,Anti-PD-1,Melanoma
NCT21130707,Study of Pembrolizumab in Melanoma,A Phase 2 Study of Pembrolizumab for the Treatment of Melanoma,Observational,Phase 2,443,2023-05-15,2023-12-01,Suspended,NIH,Parallel Assignment,Treatment,Pembrolizumab,Anti-PD-1,Melanoma
NCT63699390,Study of Pembrolizumab in Melanoma,A Phase 2 Study of Pembrolizumab for the Treatment of Melanoma,Interventional,Phase 2,171,2021-05-27,2021-11-28,Suspended,NIH,Parallel Assignment,Diagnostic,Pembrolizumab,Anti-PD-1,Melanoma
NCT29932113,Study of Pembrolizumab in Melanoma,A Phase 3 Study of Pembrolizumab for the Treatment of Melanoma,Interventional,Phase 3,236,2021-09-21,2023-04-23,Terminated,NIH,Crossover Assignment,Diagnostic,Pembrolizumab,Anti-PD-1,Melanoma
NCT29738899,Study of Pembrolizumab in Melanoma,A Phase 3 Study of Pembrolizumab for the Treatment of Melanoma,Observational,Phase 3,279,2020-05-16,2020-08-23,Suspended,Other,Crossover Assignment,Supportive Care,Pembrolizumab,Anti-PD-1,Melanoma
NCT90042183,Study of Pembrolizumab in Melanoma,A Phase 3 Study of Pembrolizumab for the Treatment of Melanoma,Observational,Phase 3,268,2021-10-23,2023-06-17,Completed,NIH,Crossover Assignment,Supportive Care,Pembrolizumab,Anti-PD-1,Melanoma
NCT15817360,Study of Pembrolizumab in Melanoma,A Phase 4 Study of Pembrolizumab for the Treatment of Melanoma,Interventional,Phase 4,396,2022-12-06,2024-05-28,Recruiting,NIH,Single Group Assignment,Diagnostic,Pembrolizumab,Anti-PD-1,Melanoma
NCT50144995,Study of Pembrolizumab in Melanoma,A Phase 4 Study of Pembrolizumab for the Treatment of Melanoma,Observational,Phase 4,406,2022-01-11,2022-03-16,Recruiting,Other,Parallel Assignment,Prevention,Pembrolizumab,Anti-PD-1,Melanoma
NCT64224792,Study of Pembrolizumab in Melanoma,A Phase 4 Study of Pembrolizumab for the Treatment of Melanoma,Interventional,Phase 4,502,2021-05-04,2021-10-06,Suspended,NIH,Parallel Assignment,Treatment,Pembrolizumab,Anti-PD-1,Melanoma
NCT31924506,Study of Pembrolizumab in Lung Cancer,A Phase 1 Study of Pembrolizumab for the Treatment of Lung Cancer,Observational,Phase 1,959,2023-04-23,2024-10-24,Suspended,Industry,Parallel Assignment,Treatment,Pembrolizumab,Anti-PD-1,Lung Cancer
NCT29868322,Study of Pembrolizumab in Lung Cancer,A Phase 2 Study of Pembrolizumab for the Treatment of Lung Cancer,Observational,Phase 2,874,2022-05-10,2024-03-06,Suspended,NIH,Crossover Assignment,Diagnostic,Pembrolizumab,Anti-PD-1,Lung Cancer
NCT34939790,Study of Pembrolizumab in Lung Cancer,A Phase 2 Study of Pembrolizumab for the Treatment of Lung Cancer,Interventional,Phase 2,765,2021-02-23,2022-04-22,Suspended,Industry,Parallel Assignment,Prevention,Pembrolizumab,Anti-PD-1,Lung Cancer
NCT81489568,Study of Pembrolizumab in Lung Cancer,A Phase 2 Study of Pembrolizumab for the Treatment of Lung Cancer,Observational,Phase 2,863,2021-04-15,2023-02-06,Completed,Industry,Crossover Assignment,Prevention,Pembrolizumab,Anti-PD-1,Lung Cancer
NCT37990206,Study of Pembrolizumab in Lung Cancer,A Phase 3 Study of Pembrolizumab for the Treatment of Lung Cancer,Observational,Phase 3,78,2021-09-23,2022-08-23,Completed,NIH,Parallel Assignment,Prevention,Pembrolizumab,Anti-PD-1,Lung Cancer
NCT10545464,Study of Pembrolizumab in Lung Cancer,A Phase 3 Study of Pembrolizumab for the Treatment of Lung Cancer,Observational,Phase 3,45,2021-04-14,2022-08-04,Suspended,Other,Single Group Assignment,Treatment,Pembrolizumab,Anti-PD-1,Lung Cancer
NCT97611651,Study of Pembrolizumab in Lung Cancer,A Phase 3 Study of Pembrolizumab for the Treatment of Lung Cancer,Observational,Phase 3,125,2023-11-28,2025-10-08,Suspended,Industry,Crossover Assignment,Prevention,Pembrolizumab,Anti-PD-1,Lung Cancer
NCT14202147,Study of Pembrolizumab in Lung Cancer,A Phase 4 Study of Pembrolizumab for the Treatment of Lung Cancer,Interventional,Phase 4,39,2021-10-30,2022-02-28,Suspended,Other,Crossover Assignment,Supportive Care,Pembrolizumab,Anti-PD-1,Lung Cancer
NCT50717175,Study of Pembrolizumab in Lymphoma,A Phase 1 Study of Pembrolizumab for the Treatment of Lymphoma,Observational,Phase 1,816,2024-10-22,2025-01-25,Terminated,NIH,Crossover Assignment,Prevention,Pembrolizumab,Anti-PD-1,Lymphoma
NCT62099161,Study of Pembrolizumab in Lymphoma,A Phase 1 Study of Pembrolizumab for the Treatment of Lymphoma,Interventional,Phase 1,647,2023-01-09,2023-04-11,Terminated,Industry,Parallel Assignment,Prevention,Pembrolizumab,Anti-PD-1,Lymphoma
NCT28982172,Study of Pembrolizumab in Lymphoma,A Phase 1 Study of Pembrolizumab for the Treatment of Lymphoma,Observational,Phase 1,876,2023-04-13,2025-03-21,Terminated,Industry,Single Group Assignment,Diagnostic,Pembrolizumab,Anti-PD-1,Lymphoma
NCT63954740,Study of Pembrolizumab in Lymphoma,A Phase 2 Study of Pembrolizumab for the Treatment of Lymphoma,Interventional,Phase 2,770,2020-10-07,2021-02-14,Completed,NIH,Crossover Assignment,Diagnostic,Pembrolizumab,Anti-PD-1,Lymphoma
NCT37315303,Study of Pembrolizumab in Lymphoma,A Phase 2 Study of Pembrolizumab for the Treatment of Lymphoma,Interventional,Phase 2,755,2021-08-31,2022-03-04,Recruiting,Industry,Crossover Assignment,Treatment,Pembrolizumab,Anti-PD-1,Lymphoma
NCT85480230,Study of Pembrolizumab in Lymphoma,A Phase 2 Study of Pembrolizumab for the Treatment of Lymphoma,Observational,Phase 2,538,2021-02-17,2021-08-08,Completed,Other,Crossover Assignment,Supportive Care,Pembrolizumab,Anti-PD-1,Lymphoma
NCT23711365,Study of Pembrolizumab in Lymphoma,A Phase 3 Study of Pembrolizumab for the Treatment of Lymphoma,Interventional,Phase 3,251,2024-08-22,2025-06-20,Terminated,NIH,Single Group Assignment,Treatment,Pembrolizumab,Anti-PD-1,Lymphoma
NCT35260372,Study of Pembrolizumab in Lymphoma,A Phase 3 Study of Pembrolizumab for the Treatment of Lymphoma,Observational,Phase 3,303,2020-08-10,2021-08-16,Recruiting,Industry,Parallel Assignment,Diagnostic,Pembrolizumab,Anti-PD-1,Lymphoma
NCT82427229,Study of Pembrolizumab in Lymphoma,A Phase 4 Study of Pembrolizumab for the Treatment of Lymphoma,Observational,Phase 4,868,2023-02-09,2024-11-02,Suspended,Industry,Parallel Assignment,Prevention,Pembrolizumab,Anti-PD-1,Lymphoma
NCT83392707,Study of Pembrolizumab in Lymphoma,A Phase 4 Study of Pembrolizumab for the Treatment of Lymphoma,Observational,Phase 4,323,2025-02-19,2026-04-10,Suspended,Other,Parallel Assignment,Treatment,Pembrolizumab,Anti-PD-1,Lymphoma
NCT35460790,Study of Pembrolizumab in Lymphoma,A Phase 4 Study of Pembrolizumab for the Treatment of Lymphoma,Observational,Phase 4,30,2020-05-25,2020-08-26,Suspended,Industry,Parallel Assignment,Treatment,Pembrolizumab,Anti-PD-1,Lymphoma
NCT75842185,Study of Nivolumab in Melanoma,A Phase 1 Study of Nivolumab for the Treatment of Melanoma,Observational,Phase 1,525,2023-04-30,2024-07-16,Suspended,NIH,Single Group Assignment,Treatment,Nivolumab,Anti-PD-1,Melanoma
NCT17518948,Study of Nivolumab in Melanoma,A Phase 1 Study of Nivolumab for the Treatment of Melanoma,Interventional,Phase 1,564,2024-10-29,2025-07-19,Terminated,NIH,Single Group Assignment,Diagnostic,Nivolumab,Anti-PD-1,Melanoma
NCT80331730,Study of Nivolumab in Melanoma,A Phase 1 Study of Nivolumab for the Treatment of Melanoma,Interventional,Phase 1,424,2023-01-24,2023-05-17,Recruiting,Other,Single Group Assignment,Treatment,Nivolumab,Anti-PD-1,Melanoma
NCT86459434,Study of Nivolumab in Melanoma,A Phase 2 Study of Nivolumab for the Treatment of Melanoma,Interventional,Phase 2,425,2025-02-04,2026-02-17,Suspended,Industry,Crossover Assignment,Prevention,Nivolumab,Anti-PD-1,Melanoma
NCT39967869,Study of Nivolumab in Melanoma,A Phase 3 Study of Nivolumab for the Treatment of Melanoma,Interventional,Phase 3,698,2023-01-09,2023-11-04,Recruiting,Industry,Single Group Assignment,Supportive Care,Nivolumab,Anti-PD-1,Melanoma
NCT24341371,Study of Nivolumab in Melanoma,A Phase 4 Study of Nivolumab for the Treatment of Melanoma,Observational,Phase 4,518,2020-09-09,2021-07-14,Recruiting,Industry,Crossover Assignment,Prevention,Nivolumab,Anti-PD-1,Melanoma
NCT32889601,Study of Nivolumab in Melanoma,A Phase 4 Study of Nivolumab for the Treatment of Melanoma,Interventional,Phase 4,922,2022-09-04,2022-11-19,Recruiting,Industry,Parallel Assignment,Treatment,Nivolumab,Anti-PD-1,Melanoma
NCT75925533,Study of Nivolumab in Melanoma,A Phase 4 Study of Nivolumab for the Treatment of Melanoma,Interventional,Phase 4,560,2022-01-23,2022-03-05,Completed,Other,Crossover Assignment,Diagnostic,Nivolumab,Anti-PD-1,Melanoma
NCT94198799,Study of Nivolumab in Lung Cancer,A Phase 1 Study of Nivolumab for the Treatment of Lung Cancer,Observational,Phase 1,834,2024-10-04,2026-01-31,Completed,Other,Single Group Assignment,Supportive Care,Nivolumab,Anti-PD-1,Lung Cancer
NCT73617729,Study of Nivolumab in Lung Cancer,A Phase 1 Study of Nivolumab for the Treatment of Lung Cancer,Interventional,Phase 1,762,2020-06-23,2021-01-21,Terminated,Industry,Single Group Assignment,Treatment,Nivolumab,Anti-PD-1,Lung Cancer
NCT15479368,Study of Nivolumab in Lung Cancer,A Phase 1 Study of Nivolumab for the Treatment of Lung Cancer,Observational,Phase 1,941,2021-04-09,2021-08-18,Recruiting,Industry,Crossover Assignment,Treatment,Nivolumab,Anti-PD-1,Lung Cancer
NCT97301291,Study of Nivolumab in Lung Cancer,A Phase 2 Study of Nivolumab for the Treatment of Lung Cancer,Interventional,Phase 2,929,2020-04-13,2020-07-22,Suspended,NIH,Crossover Assignment,Prevention,Nivolumab,Anti-PD-1,Lung Cancer
NCT60553499,Study of Nivolumab in Lung Cancer,A Phase 2 Study of Nivolumab for the Treatment of Lung Cancer,Observational,Phase 2,488,2022-12-18,2023-12-14,Terminated,Industry,Parallel Assignment,Treatment,Nivolumab,Anti-PD-1,Lung Cancer
NCT55268605,Study of Nivolumab in Lung Cancer,A Phase 2 Study of Nivolumab for the Treatment of Lung Cancer,Interventional,Phase 2,435,2022-10-07,2023-12-03,Suspended,Industry,Single Group Assignment,Prevention,Nivolumab,Anti-PD-1,Lung Cancer
NCT39313364,Study of Nivolumab in Lung Cancer,A Phase 3 Study of Nivolumab for the Treatment of Lung Cancer,Interventional,Phase 3,191,2023-04-13,2024-02-27,Recruiting,Other,Parallel Assignment,Diagnostic,Nivolumab,Anti-PD-1,Lung Cancer
NCT18387314,Study of Nivolumab in Lung Cancer,A Phase 3 Study of Nivolumab for the Treatment of Lung Cancer,Interventional,Phase 3,311,2020-06-28,2020-11-20,Completed,NIH,Single Group Assignment,Prevention,Nivolumab,Anti-PD-1,Lung Cancer
NCT86678181,Study of Nivolumab in Lung Cancer,A Phase 3 Study of Nivolumab for the Treatment of Lung Cancer,Interventional,Phase 3,219,2023-01-15,2023-07-09,Suspended,Industry,Crossover Assignment,Treatment,Nivolumab,Anti-PD-1,Lung Cancer
NCT75343369,Study of Nivolumab in Lung Cancer,A Phase 4 Study of Nivolumab for the Treatment of Lung Cancer,Interventional,Phase 4,978,2023-11-06,2025-09-28,Terminated,NIH,Parallel Assignment,Diagnostic,Nivolumab,Anti-PD-1,Lung Cancer
NCT42505109,Study of Nivolumab in Lung Cancer,A Phase 4 Study of Nivolumab for the Treatment of Lung Cancer,Interventional,Phase 4,904,2020-03-06,2020-07-04,Terminated,NIH,Crossover Assignment,Supportive Care,Nivolumab,Anti-PD-1,Lung Cancer
NCT62260047,Study of Nivolumab in Lung Cancer,A Phase 4 Study of Nivolumab for the Treatment of Lung Cancer,Interventional,Phase 4,948,2021-01-01,2022-01-23,Terminated,Other,Parallel Assignment,Supportive Care,Nivolumab,Anti-PD-1,Lung Cancer
NCT80938625,Study of Nivolumab in Lymphoma,A Phase 1 Study of Nivolumab for the Treatment of Lymphoma,Interventional,Phase 1,555,2022-01-01,2022-02-13,Terminated,Industry,Single Group Assignment,Treatment,Nivolumab,Anti-PD-1,Lymphoma
NCT77308094,Study of Nivolumab in Lymphoma,A Phase 1 Study of Nivolumab for the Treatment of Lymphoma,Interventional,Phase 1,626,2024-03-08,2025-10-15,Suspended,NIH,Parallel Assignment,Treatment,Nivolumab,Anti-PD-1,Lymphoma
NCT90762726,Study of Nivolumab in Lymphoma,A Phase 1 Study of Nivolumab for the Treatment of Lymphoma,Observational,Phase 1,525,2024-05-10,2026-03-31,Recruiting,Other,Crossover Assignment,Diagnostic,Nivolumab,Anti-PD-1,Lymphoma
NCT76046465,Study of Nivolumab in Lymphoma,A Phase 2 Study of Nivolumab for the Treatment of Lymphoma,Observational,Phase 2,724,2021-10-30,2022-03-04,Suspended,Industry,Single Group Assignment,Supportive Care,Nivolumab,Anti-PD-1,Lymphoma
NCT78929451,Study of Nivolumab in Lymphoma,A Phase 2 Study of Nivolumab for the Treatment of Lymphoma,Observational,Phase 2,596,2022-09-13,2023-07-31,Recruiting,Other,Single Group Assignment,Diagnostic,Nivolumab,Anti-PD-1,Lymphoma
NCT16638362,Study of Nivolumab in Lymphoma,A Phase 2 Study of Nivolumab for the Treatment of Lymphoma,Observational,Phase 2,926,2022-05-28,2023-09-14,Suspended,NIH,Parallel Assignment,Prevention,Nivolumab,Anti-PD-1,Lymphoma
